field,year,laureates
Peace,1908,"Fredrik Bajer, Klas Pontus Arnoldson"
Peace,1907,"Ernesto Teodoro Moneta, Louis Renault"
Peace,1906,Theodore Roosevelt
Peace,1905,Bertha von Suttner
Peace,1904,Institute of International Law
Peace,1903,Randal Cremer
Peace,1902,"Albert Gobat, Élie Ducommun"
Peace,1901,"Frédéric Passy, Henry Dunant"
Economics,2025,"Joel Mokyr, Peter Howitt, Philippe Aghion"
Economics,2024,"Daron Acemoglu, James A. Robinson, Simon Johnson"
Economics,2023,Claudia Goldin
Economics,2022,"Ben Bernanke, Douglas Diamond, Philip Dybvig"
Economics,2021,"David Card, Guido W. Imbens, Joshua D. Angrist"
Economics,2020,"Paul R. Milgrom, Robert B. Wilson"
Economics,2019,"Abhijit Banerjee, Esther Duflo, Michael Kremer"
Economics,2018,"Paul M. Romer, William D. Nordhaus"
Economics,2017,Richard H. Thaler
Economics,2016,"Bengt Holmström, Oliver Hart"
Economics,2015,Angus Deaton
Economics,2014,Jean Tirole
Economics,2013,"Eugene F. Fama, Lars Peter Hansen, Robert J. Shiller"
Economics,2012,"Alvin E. Roth, Lloyd S. Shapley"
Economics,2011,"Christopher A. Sims, Thomas J. Sargent"
Economics,2010,"Christopher A. Pissarides, Dale T. Mortensen, Peter A. Diamond"
Economics,2009,"Elinor Ostrom, Oliver E. Williamson"
Economics,2008,Paul Krugman
Economics,2007,"Eric S. Maskin, Leonid Hurwicz, Roger B. Myerson"
Economics,2006,Edmund S. Phelps
Economics,2005,"Robert J. Aumann, Thomas C. Schelling"
Economics,2004,"Edward C. Prescott, Finn E. Kydland"
Economics,2003,"Clive W.J. Granger, Robert F. Engle III"
Economics,2002,"Daniel Kahneman, Vernon L. Smith"
Economics,2001,"A. Michael Spence, George A. Akerlof, Joseph E. Stiglitz"
Economics,2000,"Daniel L. McFadden, James J. Heckman"
Economics,1999,Robert Mundell
Economics,1998,Amartya Sen
Economics,1997,"Myron Scholes, Robert C. Merton"
Economics,1996,"James A. Mirrlees, William Vickrey"
Economics,1995,Robert E. Lucas Jr.
Economics,1994,"John C. Harsanyi, John F. Nash Jr., Reinhard Selten"
Economics,1993,"Douglass C. North, Robert W. Fogel"
Economics,1992,Gary Becker
Economics,1991,Ronald H. Coase
Economics,1990,"Harry M. Markowitz, Merton H. Miller, William F. Sharpe"
Economics,1989,Trygve Haavelmo
Economics,1988,Maurice Allais
Economics,1987,Robert M. Solow
Economics,1986,James M. Buchanan Jr.
Economics,1985,Franco Modigliani
Economics,1984,Richard Stone
Economics,1983,Gerard Debreu
Economics,1982,George J. Stigler
Economics,1981,James Tobin
Economics,1980,Lawrence R. Klein
Economics,1979,"Sir Arthur Lewis, Theodore W. Schultz"
Economics,1978,Herbert Simon
Economics,1977,"Bertil Ohlin, James E. Meade"
Economics,1976,Milton Friedman
Economics,1975,"Leonid Vitaliyevich Kantorovich, Tjalling C. Koopmans"
Economics,1974,"Friedrich von Hayek, Gunnar Myrdal"
Economics,1973,Wassily Leontief
Economics,1972,"John R. Hicks, Kenneth J. Arrow"
Economics,1971,Simon Kuznets
Economics,1970,Paul A. Samuelson
Economics,1969,"Jan Tinbergen, Ragnar Frisch"
