id,stage_name,full_name,korean_name,k_stage_name,date_of_birth,group,debut,company,country,second_country,height,weight,birthplace,other_group,former_group,gender,birth_year,debut_year,debut_age
367,Yoonhye,Jung Yoonhye,정윤혜,윤혜,1990-04-14,Rainbow,2009-11-12,DSP,South Korea,N/A,166.0,47.0,Daejeon,N/A,N/A,F,1990.0,2009.0,19.0
368,Ahyung,Kang Ahyoung,강아형,아형,1996-08-27,P.O.P,2017-07-26,DWM,South Korea,N/A,N/A,N/A,Pohang,N/A,N/A,F,1996.0,2017.0,21.0
369,Haeri,Jung Haeri,정해리,해리,1997-01-14,P.O.P,2017-07-26,DWM,South Korea,N/A,N/A,N/A,Seoul,N/A,N/A,F,1997.0,2017.0,20.0
370,Miso,Park Jihyun,박지현,미소,1996-09-16,P.O.P,2017-07-26,DWM,South Korea,N/A,N/A,N/A,Busan,N/A,N/A,F,1996.0,2017.0,21.0
371,Seol,Min Jihye,민지혜,설,1997-01-01,P.O.P,2017-07-26,DWM,South Korea,N/A,N/A,N/A,Gunsan,N/A,N/A,F,1997.0,2017.0,20.0
372,Yeonha,Ahn Yeonji,안연지,연하,2000-05-19,P.O.P,2017-07-26,DWM,South Korea,N/A,N/A,N/A,Yeondong,N/A,N/A,F,2000.0,2017.0,17.0
373,Yeonjoo,Song Yeonjoo,정연주,연주,1997-06-26,P.O.P,2017-07-26,DWM,South Korea,N/A,N/A,N/A,Ansan,N/A,N/A,F,1997.0,2017.0,20.0
374,Jaechan,Park Jaechan,박재찬,재찬,2001-12-06,Dongkiz,2019-04-24,Dongyo,South Korea,N/A,177.0,58.0,N/A,N/A,N/A,M,2001.0,2019.0,18.0
375,Jonghyeong,Kim Jonghyeong,김종형,종형,2002-04-13,Dongkiz,2019-04-24,Dongyo,South Korea,N/A,178.0,65.0,N/A,N/A,N/A,M,2002.0,2019.0,17.0
376,Kyungyoon,Lee Kyungyoon,이경윤,경윤,2000-02-21,Dongkiz,2019-04-24,Dongyo,South Korea,N/A,177.0,58.0,N/A,N/A,N/A,M,2000.0,2019.0,19.0
377,Munik,Jang Moonik,장문익,문익,2001-03-20,Dongkiz,2019-04-24,Dongyo,South Korea,N/A,173.0,50.0,N/A,N/A,N/A,M,2001.0,2019.0,18.0
378,Wondae,Seol Wondae,설원대,원대,1998-04-28,Dongkiz,2019-04-24,Dongyo,South Korea,N/A,180.0,63.0,N/A,N/A,N/A,M,1998.0,2019.0,21.0
379,AhIn,Lee Ahin,이아인,아인,1999-09-27,MOMOLAND,2016-11-09,Double Kick,South Korea,N/A,160.0,44.0,Wonju,N/A,N/A,F,1999.0,2016.0,17.0
380,Hyebin,Lee Hyebin,이혜빈,혜빈,1996-01-12,MOMOLAND,2016-11-09,Double Kick,South Korea,N/A,165.0,44.0,Andong,N/A,N/A,F,1996.0,2016.0,20.0
381,Jane,Sung Jiyeon,성지연,제인,1997-12-20,MOMOLAND,2016-11-09,Double Kick,South Korea,N/A,167.0,46.0,Changwon,N/A,N/A,F,1997.0,2016.0,19.0
382,Joo E,Lee Joowon,이주원,주이,1999-08-18,MOMOLAND,2016-11-09,Double Kick,South Korea,N/A,164.0,45.0,Bucheon,N/A,N/A,F,1999.0,2016.0,17.0
383,Nancy,Nancy Mcdonie,낸시 맥다니,낸시,2000-04-13,MOMOLAND,2016-11-09,Double Kick,South Korea,USA,162.0,45.0,Daegu,N/A,N/A,F,2000.0,2016.0,16.0
384,Nayun,Kim Nayun,김나윤,나윤,1998-07-31,MOMOLAND,2016-11-09,Double Kick,South Korea,N/A,167.0,48.0,Seoul,N/A,N/A,F,1998.0,2016.0,18.0
385,Hyeri,Lee Hyeri,이혜리,혜리,1994-06-09,Girl's Day,2010-07-09,DreamT,South Korea,N/A,167.0,46.0,Gwangju,N/A,N/A,F,1994.0,2010.0,16.0
386,Minah,Bang Minah,방민아,민아,1993-05-13,Girl's Day,2010-07-09,DreamT,South Korea,N/A,165.0,47.0,Incheon,N/A,N/A,F,1993.0,2010.0,17.0
387,Sojin,Park Sojin,박소진,소진,1986-05-21,Girl's Day,2010-07-09,DreamT,South Korea,N/A,167.0,47.0,Daegu,N/A,N/A,F,1986.0,2010.0,24.0
388,Yura,Kim Ahyoung,김아영,유라,1992-11-06,Girl's Day,2010-07-09,DreamT,South Korea,N/A,168.0,49.0,Ulsan,N/A,N/A,F,1992.0,2010.0,18.0
389,Chaewon,Lee Chaewon,이채원,채원,2000-03-18,Maka Maka,2020-08-04,Dreamus,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2020.0,20.0
390,Daseul,Yang Daseul,양다슬,다슬,2000-09-14,Maka Maka,2020-08-04,Dreamus,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2020.0,20.0
391,Dia,Kwak Minnyeong,곽민녕,디아,1999-09-03,Maka Maka,2020-08-04,Dreamus,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1999.0,2020.0,21.0
392,EunB,Shin Eunbi,신은비,은비,2000-09-17,Maka Maka,2020-08-04,Dreamus,South Korea,N/A,N/A,N/A,N/A,N/A,Lip Bubble,F,2000.0,2020.0,20.0
393,Heesu,Kim Heesu,김희수,희수,1998-03-24,Maka Maka,2020-08-04,Dreamus,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1998.0,2020.0,22.0
394,Baekgyeul,Baek Sunwoo,백결,백선우,1999-12-01,E'LAST,2020-06-09,E Entertainment,South Korea,N/A,180.0,61.0,N/A,N/A,N/A,M,1999.0,2020.0,21.0
395,Choi In,Choi In,최인,최인,1996-02-11,E'LAST,2020-06-09,E Entertainment,South Korea,N/A,170.0,50.0,N/A,N/A,N/A,M,1996.0,2020.0,24.0
396,Rano,Byun Yongseop,변용섭,라노,1998-12-10,E'LAST,2020-06-09,E Entertainment,South Korea,N/A,175.0,60.0,N/A,N/A,N/A,M,1998.0,2020.0,22.0
397,Romin,Choi Youngmin,최영민,로민,2001-04-24,E'LAST,2020-06-09,E Entertainment,South Korea,N/A,179.0,58.0,N/A,N/A,N/A,M,2001.0,2020.0,19.0
398,Seungyeop,Choi Seungyeop,최승엽,승엽,1997-05-08,E'LAST,2020-06-09,E Entertainment,South Korea,N/A,176.0,60.0,N/A,N/A,N/A,M,1997.0,2020.0,23.0
399,Won Hyuk,Won Hyuk,원혁,원혁,2002-02-22,E'LAST,2020-06-09,E Entertainment,South Korea,N/A,181.0,63.0,N/A,N/A,N/A,M,2002.0,2020.0,18.0
400,Wonjun,Lee Wonjun,이원준,원준,2002-03-08,E'LAST,2020-06-09,E Entertainment,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2002.0,2020.0,18.0
401,Yejun,Oh Yejun,오예준,예준,2002-08-23,E'LAST,2020-06-09,E Entertainment,South Korea,N/A,178.0,58.0,N/A,N/A,N/A,M,2002.0,2020.0,18.0
402,Shinyoung,Park Shinyoung,박신영,신영,2000-03-19,G-reyish,2017-06-01,Elijah,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2017.0,17.0
403,Yena,Jeong Yena,정예나,예나,2000-04-10,G-reyish,2017-06-01,Elijah,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2017.0,17.0
404,Yeso,Lee Yeso,이예소,예소,2001-11-13,G-reyish,2017-06-01,Elijah,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2001.0,2017.0,16.0
405,Eunjin,Moon Eunjin,문은진,은진,1998-11-05,Highteen,2016-10-14,Elijah,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1998.0,2016.0,18.0
406,Hyebin,Im Hyebin,임혜빈,혜빈,1999-11-10,Highteen,2016-10-14,Elijah,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1999.0,2016.0,17.0
407,Hyejoo,Park Hyunjoo,박현주,혜주,1999-01-12,Highteen,2016-10-14,Elijah,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1999.0,2016.0,17.0
408,Sea,Kim Sujeong,김수정,세아,1999-12-05,Highteen,2016-10-14,Elijah,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1999.0,2016.0,17.0
409,Aria,Baby Gauthami,베이비 고타미,아리아,2003-03-12,X:IN,2023-04-11,Escrow,India,N/A,N/A,N/A,N/A,N/A,N/A,F,2003.0,2023.0,20.0
410,Chi.u,Lee Jaeyi,이재이,치유,1998-08-16,X:IN,2023-04-11,Escrow,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1998.0,2023.0,25.0
411,E.sha,Kwon Yena,권예나,이샤,1998-12-29,X:IN,2023-04-11,Escrow,Australia,South Korea,N/A,N/A,N/A,N/A,N/A,F,1998.0,2023.0,25.0
412,Nova,Maria Pavlovna Emelyanova,마리아 파블로브나 에멜야노바,노바,2002-10-10,X:IN,2023-04-11,Escrow,Russia,N/A,N/A,N/A,Moscow,N/A,N/A,F,2002.0,2023.0,21.0
413,Roa,N/A,N/A,로아,N/A,X:IN,2023-04-11,Escrow,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,N/A,2023.0,N/A
414,Ara,Lee Yunji,이윤지,아라,2002-01-23,ILY:1,2022-04-04,FC ENM,South Korea,N/A,158.0,N/A,N/A,N/A,N/A,F,2002.0,2022.0,20.0
415,Elva,Lee Yonghwa,이용화,엘바,2003-05-05,ILY:1,2022-04-04,FC ENM,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2003.0,2022.0,19.0
416,Hana,Hayase Hana,하야세 하나,하나,2000-02-27,ILY:1,2022-04-04,FC ENM,Japan,N/A,165.0,N/A,N/A,N/A,N/A,F,2000.0,2022.0,22.0
417,Nayu,Kim Yewon,김예원,나유,2002-07-23,ILY:1,2022-04-04,FC ENM,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2002.0,2022.0,20.0
418,Ririka,Kishida Ririka,키시다 리리카,리리카,2002-07-02,ILY:1,2022-04-04,FC ENM,Japan,N/A,162.0,N/A,N/A,N/A,N/A,F,2002.0,2022.0,20.0
419,Rona,Chang Ching,장찡,로나,2002-06-05,ILY:1,2022-04-04,FC ENM,Taiwan,N/A,165.0,N/A,Taipei,N/A,N/A,F,2002.0,2022.0,20.0
420,Gijung,Kim Gijung,김기중,기중,2001-01-24,IM,2022-04-04,FC ENM,South Korea,N/A,180.0,N/A,N/A,N/A,N/A,M,2001.0,2022.0,21.0
421,Giseok,Jun Giseok,정기석,기석,1997-05-02,IM,2022-04-04,FC ENM,South Korea,N/A,180.0,N/A,N/A,N/A,N/A,M,1997.0,2022.0,25.0
422,Taeeun,Moon Taeeun,문태은,태은,2000-02-09,IM,2022-04-04,FC ENM,South Korea,N/A,175.0,N/A,N/A,N/A,N/A,M,2000.0,2022.0,22.0
423,Chaelin,Lee Chaelin,이채린,채린,1999-10-20,FANATICS,2019-08-06,FENT,South Korea,N/A,162.0,47.0,N/A,N/A,N/A,F,1999.0,2019.0,20.0
424,Chiayi,Li Chiayi,지아이,지아이,2000-01-22,FANATICS,2019-08-06,FENT,Taiwan,N/A,164.0,N/A,N/A,FANATICS FLAVOR,N/A,F,2000.0,2019.0,19.0
425,Doah,Kim Doah,김도아,도아,2003-12-04,FANATICS,2019-08-06,FENT,South Korea,N/A,163.0,42.0,N/A,FANATICS FLAVOR,N/A,F,2003.0,2019.0,16.0
426,Doi,Kim Doi,김도이,도이,1994-04-12,FANATICS,2019-08-06,FENT,South Korea,N/A,170.0,N/A,N/A,N/A,N/A,F,1994.0,2019.0,25.0
427,Rayeon,Lee Rayeon,이나연,나연,2001-11-24,FANATICS,2019-08-06,FENT,South Korea,N/A,167.0,45.0,Gwangju,N/A,N/A,F,2001.0,2019.0,18.0
428,Via,Kim Via,김비아,비아,2000-08-17,FANATICS,2019-08-06,FENT,South Korea,N/A,165.0,46.0,Busan,N/A,N/A,F,2000.0,2019.0,19.0
429,Yoonhye,Jung Yoonhye,정윤혜,윤혜,2001-10-04,FANATICS,2019-08-06,FENT,South Korea,N/A,173.0,N/A,N/A,FANATICS FLAVOR,N/A,F,2001.0,2019.0,18.0
430,Chanmi,Kim Chanmi,김찬미,찬미,1996-06-19,AoA,2012-07-30,FNC,South Korea,N/A,166.0,47.0,Gumi,N/A,N/A,F,1996.0,2012.0,16.0
431,Hyejeong,Shin Hyejeong,신혜정,혜정,1993-08-10,AoA,2012-07-30,FNC,South Korea,N/A,170.0,48.0,Seoul,N/A,N/A,F,1993.0,2012.0,19.0
432,Seolhyun,Kim Seolhyun,김설현,설현,1995-01-03,AoA,2012-07-30,FNC,South Korea,N/A,167.0,47.0,Bucheon,N/A,N/A,F,1995.0,2012.0,17.0
433,Yuna,Seo Yuna,서유나,유나,1992-12-30,AoA,2012-07-30,FNC,South Korea,N/A,163.0,45.0,Busan,AOA BLACK,N/A,F,1992.0,2012.0,20.0
434,Jonghyun,Lee Jonghyun,이종현,종현,1990-05-15,CNBLUE,2010-01-14,FNC,South Korea,N/A,N/A,N/A,Busan,N/A,N/A,M,1990.0,2010.0,20.0
435,Jungshin,Lee Jungshin,이정신,정신,1991-09-15,CNBLUE,2010-01-14,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1991.0,2010.0,19.0
436,Minhyuk,Kang Minhyuk,강민혁,민혁,1991-06-28,CNBLUE,2010-01-14,FNC,South Korea,N/A,N/A,N/A,Ilsan,N/A,N/A,M,1991.0,2010.0,19.0
437,Yonghwa,Jung Yonghwa,정용화,용화,1989-06-22,CNBLUE,2010-01-14,FNC,South Korea,N/A,N/A,N/A,Seoul,N/A,N/A,M,1989.0,2010.0,21.0
438,Bora,Kim Bora,김보라,보라,1999-03-03,Cherry Bullet,2019-01-21,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1999.0,2019.0,20.0
439,Chaerin,Park Chaerin,박채린,채린,2002-03-13,Cherry Bullet,2019-01-21,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2002.0,2019.0,17.0
440,Haeyoon,Park Haeyoon,박해윤,해윤,1996-01-10,Cherry Bullet,2019-01-21,FNC,South Korea,N/A,157.0,43.0,N/A,N/A,N/A,F,1996.0,2019.0,23.0
441,Jiwon,Heo Jiwon,허지원,지원,2000-09-04,Cherry Bullet,2019-01-21,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2019.0,19.0
442,May,Hirokawa Mao,히로카와 마오,메이,2004-11-16,Cherry Bullet,2019-01-21,FNC,Japan,N/A,N/A,N/A,N/A,N/A,N/A,F,2004.0,2019.0,15.0
443,Remi,Katsuno Rise,카츠노 리세,레미,2001-04-26,Cherry Bullet,2019-01-21,FNC,Japan,N/A,N/A,N/A,N/A,N/A,N/A,F,2001.0,2019.0,18.0
444,Yuju,Choi Yuju,최유주,유주,1997-03-05,Cherry Bullet,2019-01-21,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1997.0,2019.0,22.0
445,Honggi,Lee Honggi,이홍기,홍기,1990-03-02,FTISLAND,2007-06-07,FNC,South Korea,N/A,N/A,N/A,Gwangju,N/A,N/A,M,1990.0,2007.0,17.0
446,Jaejin,Lee Jaejin,이재진,재진,1991-12-17,FTISLAND,2007-06-07,FNC,South Korea,N/A,N/A,N/A,Cheongju,N/A,N/A,M,1991.0,2007.0,16.0
447,Jonghoon,Choi Jonghoon,최종훈,종훈,1990-03-07,FTISLAND,2007-06-07,FNC,South Korea,N/A,N/A,N/A,Seoul,N/A,N/A,M,1990.0,2007.0,17.0
448,Minhwan,Choi Minhwan,최민환,민환,1992-11-11,FTISLAND,2007-06-07,FNC,South Korea,N/A,N/A,N/A,Seoul,N/A,N/A,M,1992.0,2007.0,15.0
449,Seunghyun,Song Seungyun,송승현,승현,1992-08-21,FTISLAND,2007-06-07,FNC,South Korea,N/A,N/A,N/A,Seoul,N/A,N/A,M,1992.0,2007.0,15.0
450,Dain,Jung Dain,정다인,다인,2004-12-15,HOT ISSUE,2017-05-17,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2004.0,2017.0,13.0
451,Dana,Jang Dana,장다나,다나,2003-12-25,HOT ISSUE,2017-05-17,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2003.0,2017.0,14.0
452,Hyeongshin,Kim Hyungshin,김형신,형신,2002-05-03,HOT ISSUE,2017-05-17,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2002.0,2017.0,15.0
453,Mayna,Shaoxi Mengna,N/A,메이나,2000-05-12,HOT ISSUE,2017-05-17,FNC,China,Romania,170.0,47.0,N/A,N/A,N/A,F,2000.0,2017.0,17.0
454,Nahyun,Kang Nahyun,강나현,나현,2002-01-25,HOT ISSUE,2017-05-17,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2002.0,2017.0,15.0
455,Yebin,Kim Yebin,김예빈,예빈,2004-11-01,HOT ISSUE,2017-05-17,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2004.0,2017.0,13.0
456,Yewon,Park Yewon,박예원,예원,2004-01-11,HOT ISSUE,2017-05-17,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2004.0,2017.0,13.0
457,Bin,Kwon Soobin,김수빈,빈,1993-10-28,Hot Blood Youth,2017-05-17,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1993.0,2017.0,24.0
458,Jisan,Choi Jinsang,최지상,지산,1999-11-03,Hot Blood Youth,2017-05-17,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2017.0,18.0
459,Kyuhyuk,Shim Kyuhyuk,심규혁,규혁,1995-01-11,Hot Blood Youth,2017-05-17,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1995.0,2017.0,22.0
460,Marco,Lee Hyunggeun,이형근,마르코,1994-05-11,Hot Blood Youth,2017-05-17,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1994.0,2017.0,23.0
461,Taro,Choi Wonjin,최원진,타로,1994-11-09,Hot Blood Youth,2017-05-17,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1994.0,2017.0,23.0
462,Cha Hoon,Cha Hoon,차훈,차훈,1994-07-12,N.Flying,2015-05-20,FNC,South Korea,N/A,N/A,N/A,Seoul,N/A,N/A,M,1994.0,2015.0,21.0
463,Hweseung,Yoo Hweseung,유회승,회승,1995-02-28,N.Flying,2015-05-20,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1995.0,2015.0,20.0
464,Jaehyun,Kim Jaehyun,김재현,재현,1994-07-15,N.Flying,2015-05-20,FNC,South Korea,N/A,N/A,N/A,Seoul,N/A,N/A,M,1994.0,2015.0,21.0
465,Kwangjin,Kwon Kwangjin,권광진,광진,1992-08-12,N.Flying,2015-05-20,FNC,South Korea,N/A,N/A,N/A,Seoul,N/A,CNBLUE,M,1992.0,2015.0,23.0
466,Seunghyub,Lee Seunghyub,이승협,승협,1992-10-31,N.Flying,2015-05-20,FNC,South Korea,N/A,N/A,N/A,Daegu,N/A,N/A,M,1992.0,2015.0,23.0
467,Intak,Hwang Intak,황인탁,인탁,2003-08-31,P1Harmony,2020-10-28,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2003.0,2020.0,17.0
468,Jiung,Choi Jiwoong,최지웅,지웅,2001-10-07,P1Harmony,2020-10-28,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2001.0,2020.0,19.0
469,Jongseob,Kim Jongseob,김종섭,종섭,2005-11-19,P1Harmony,2020-10-28,FNC,South Korea,N/A,173.0,N/A,N/A,N/A,N/A,M,2005.0,2020.0,15.0
470,Keeho,Yoon Kiho,윤기호,기호,2001-09-27,P1Harmony,2020-10-28,FNC,Canada,N/A,N/A,N/A,N/A,N/A,N/A,M,2001.0,2020.0,19.0
471,Soul,Haku Shota,하쿠 쇼타,소울,2005-02-01,P1Harmony,2020-10-28,FNC,Japan,N/A,N/A,N/A,N/A,N/A,N/A,M,2005.0,2020.0,15.0
472,Theo,Choi Taeyang,최태양,태오,2001-07-01,P1Harmony,2020-10-28,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2001.0,2020.0,19.0
473,Chani,Kang Chanhee,강찬희,찬희,2000-01-17,SF9,2016-10-05,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2000.0,2016.0,16.0
474,Dawon,Lee Sanghyuk,이상혁,다원,1995-07-24,SF9,2016-10-05,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1995.0,2016.0,21.0
475,Hwiyoung,Kim Youngkyun,김영균,휘영,1999-05-11,SF9,2016-10-05,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2016.0,17.0
476,Inseong,Kim Inseong,김인성,인성,1993-07-12,SF9,2016-10-05,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1993.0,2016.0,23.0
477,Jaeyoon,Lee Jaeyoon,이재윤,재윤,1994-08-09,SF9,2016-10-05,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1994.0,2016.0,22.0
478,Rowoon,Kim Seokwoo,김석우,로운,1996-08-07,SF9,2016-10-05,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1996.0,2016.0,20.0
479,Taeyang,Yoo Taeyang,유태양,태양,1997-02-28,SF9,2016-10-05,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1997.0,2016.0,19.0
480,Youngbin,Kim Youngbin,김영빈,영빈,1993-11-23,SF9,2016-10-05,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1993.0,2016.0,23.0
481,Zuho,Bae Juho,백주호,주호,1996-07-04,SF9,2016-10-05,FNC,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1996.0,2016.0,20.0
482,Eunwoo,Cha Eunwoo,차은우,은우,1997-03-30,ASTRO,2016-02-23,Fantagio,South Korea,N/A,N/A,N/A,Gunpo,N/A,N/A,M,1997.0,2016.0,19.0
483,Jin Jin,Park Jinwoo,박진우,진진,1996-03-15,ASTRO,2016-02-23,Fantagio,South Korea,N/A,N/A,N/A,Nowon,N/A,N/A,M,1996.0,2016.0,20.0
484,MJ,Kim Myungjun,김명준,엠제이,1994-03-05,ASTRO,2016-02-23,Fantagio,South Korea,N/A,N/A,N/A,Nowon,N/A,N/A,M,1994.0,2016.0,22.0
485,Moon Bin,Moon Bin,문빈,문빈,1998-01-26,ASTRO,2016-02-23,Fantagio,South Korea,N/A,N/A,N/A,Cheongju,N/A,N/A,M,1998.0,2016.0,18.0
486,Rocky,Park Minhyuk,박민혁,라키,1999-02-25,ASTRO,2016-02-23,Fantagio,South Korea,N/A,N/A,N/A,Jinju,N/A,N/A,M,1999.0,2016.0,17.0
487,Sanha,Yoon Sanha,윤산하,산하,2000-03-21,ASTRO,2016-02-23,Fantagio,South Korea,N/A,N/A,N/A,Seoul,N/A,N/A,M,2000.0,2016.0,16.0
488,Alice,Song Joohee,송주희,앨리스,1990-03-21,Hello Venus,2012-05-09,Fantagio,South Korea,N/A,166.0,47.0,Wonju,N/A,N/A,F,1990.0,2012.0,22.0
489,Lime,Kim Hyerim,김혜림,라임,1993-01-19,Hello Venus,2012-05-09,Fantagio,South Korea,N/A,169.0,50.0,N/A,N/A,N/A,F,1993.0,2012.0,19.0
490,Nara,Kwon Nara,권나라,나라,1991-03-13,Hello Venus,2012-05-09,Fantagio,South Korea,N/A,172.0,52.0,Seongnam,N/A,N/A,F,1991.0,2012.0,21.0
491,Seoyoung,Lee Seoyoung,이서영,서영,1994-06-27,Hello Venus,2012-05-09,Fantagio,South Korea,N/A,164.0,50.0,N/A,N/A,N/A,F,1994.0,2012.0,18.0
492,Yeoreum,Ahn Chaeyeon,안채연,여름,1996-06-04,Hello Venus,2012-05-09,Fantagio,South Korea,N/A,167.0,48.0,N/A,N/A,N/A,F,1996.0,2012.0,16.0
493,Yooyoung,Lee Yooyoung,이유영,유영,1995-01-23,Hello Venus,2012-05-09,Fantagio,South Korea,N/A,170.0,49.0,Suwon,N/A,N/A,F,1995.0,2012.0,17.0
494,Doyeon,Kim Doyeon,김도연,도연,1999-12-04,Weki Meki,2017-08-08,Fantagio,South Korea,N/A,N/A,N/A,Incheon,I.O.I| WJMK,N/A,F,1999.0,2017.0,18.0
495,Elly,Jung Haerim,정해림,엘리,1998-07-20,Weki Meki,2017-08-08,Fantagio,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1998.0,2017.0,19.0
496,Lua,Kim Sookyung,김수경,루아,2000-10-06,Weki Meki,2017-08-08,Fantagio,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2017.0,17.0
497,Lucy,Noh Hyojung,노효정,루시,2002-08-31,Weki Meki,2017-08-08,Fantagio,South Korea,N/A,N/A,N/A,Goyang,N/A,N/A,F,2002.0,2017.0,15.0
498,Rina,Kang Soeun,강소은,리나,2001-09-27,Weki Meki,2017-08-08,Fantagio,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2001.0,2017.0,16.0
499,Sei,Lee Seojung,이서정,세이,2000-01-07,Weki Meki,2017-08-08,Fantagio,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2017.0,17.0
500,Suyeon,Ji Suyeon,지수연,수연,1997-04-20,Weki Meki,2017-08-08,Fantagio,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1997.0,2017.0,20.0
501,Yoojung,Choi Yoojung,최유정,유정,1999-11-12,Weki Meki,2017-08-08,Fantagio,South Korea,N/A,N/A,N/A,Guri,I.O.I| WJMK,N/A,F,1999.0,2017.0,18.0
502,Hyunbin,Kwon Hyunbin,권현빈,현빈,1997-03-04,JBJ,2017-10-18,Fave,South Korea,N/A,N/A,N/A,Seoul,N/A,N/A,M,1997.0,2017.0,20.0
503,Kenta,Takada Kenta,타카다 켄타,켄타,1995-01-10,JBJ,2017-10-18,Fave,Japan,N/A,N/A,N/A,Fujioka,N/A,N/A,M,1995.0,2017.0,22.0
504,Longguo,Jin Longguo,진룽궈,룽궈,1996-03-02,JBJ,2017-10-18,Fave,China,N/A,N/A,N/A,Heilong,N/A,N/A,M,1996.0,2017.0,21.0
505,Eden,Jae Won,재원,이든,1998-03-27,NINE.i,2022-03-30,FirstOne,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1998.0,2022.0,24.0
506,Jewon,Woo Jewon,우제원,제원,1998-11-28,NINE.i,2022-03-30,FirstOne,South Korea,N/A,170.0,55.0,N/A,N/A,N/A,M,1998.0,2022.0,24.0
507,Jiho,Jang Jiho,장지호,지호,2004-08-10,NINE.i,2022-03-30,FirstOne,South Korea,N/A,N/A,N/A,Gyeonggi,N/A,N/A,M,2004.0,2022.0,18.0
508,Joohyoung,Kim Joohyoung,김주형,주형,2003-03-15,NINE.i,2022-03-30,FirstOne,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2003.0,2022.0,19.0
509,Minjun,Kim Minjun,김민준,민준,1999-02-26,NINE.i,2022-03-30,FirstOne,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2022.0,23.0
510,Seowon,Seo Won,서원,서원,2000-12-18,NINE.i,2022-03-30,FirstOne,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2000.0,2022.0,22.0
511,Taehun,Lee Taehoon,이태훈,태훈,2000-03-21,NINE.i,2022-03-30,FirstOne,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2000.0,2022.0,22.0
512,Vahn,Kim Jungwoo,김정우,반,1999-05-07,NINE.i,2022-03-30,FirstOne,South Korea,N/A,175.0,58.0,N/A,N/A,N/A,M,1999.0,2022.0,23.0
