eco,group,subgroup,name,pgn
C40,Elephant Gambit,,Elephant Gambit,1. e4 e5 2. Nf3 d5
C40,Elephant Gambit,Maróczy Gambit,Elephant Gambit: Maróczy Gambit,1. e4 e5 2. Nf3 d5 3. exd5 Bd6
C40,Elephant Gambit,Paulsen Countergambit,Elephant Gambit: Paulsen Countergambit,1. e4 e5 2. Nf3 d5 3. exd5 e4
C40,Elephant Gambit,Wasp Variation,Elephant Gambit: Wasp Variation,1. e4 e5 2. Nf3 d5 3. Nxe5 dxe4 4. Bc4 Qg5
A40,English Defense,,English Defense,1. d4 b6
A40,English Defense,,English Defense,1. d4 e6 2. c4 b6
A40,English Defense,Eastbourne Gambit,English Defense: Eastbourne Gambit,1. d4 b6 2. c4 Bb7 3. Nc3 e5
A40,English Defense,Hartlaub Gambit Accepted,English Defense: Hartlaub Gambit Accepted,1. c4 e6 2. d4 b6 3. Nc3 Bb7 4. e4 f5 5. exf5 Nf6
A40,English Defense,Hartlaub Gambit Declined,English Defense: Hartlaub Gambit Declined,1. c4 e6 2. d4 b6 3. Nc3 Bb7 4. e4 f5 5. d5
A40,English Defense,Perrin Variation,English Defense: Perrin Variation,1. d4 e6 2. c4 b6 3. e4 Bb7 4. Bd3 Nc6
A40,English Defense,Poli Gambit,English Defense: Poli Gambit,1. d4 e6 2. c4 b6 3. e4 Bb7 4. f3 f5 5. exf5 Nh6
A10,English Opening,,English Opening,1. c4
A10,English Opening,Achilles-Omega Gambit,English Opening: Achilles-Omega Gambit,1. c4 Nf6 2. e4
A10,English Opening,Adorjan Defense,English Opening: Adorjan Defense,1. c4 g6 2. e4 e5
A13,English Opening,Agincourt Defense,English Opening: Agincourt Defense,1. c4 e6
A13,English Opening,Agincourt Defense,English Opening: Agincourt Defense,1. c4 e6 2. Nf3
A13,English Opening,Agincourt Defense,English Opening: Agincourt Defense,1. c4 e6 2. Nf3 d5
A13,English Opening,Agincourt Defense,English Opening: Agincourt Defense,1. c4 e6 2. Nf3 d5 3. b3 Nf6 4. Bb2 Be7 5. e3 O-O
A13,English Opening,Agincourt Defense,English Opening: Agincourt Defense,1. c4 e6 2. Nf3 d5 3. b3 Nf6 4. Bb2 Be7 5. e3 O-O 6. d4
A13,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Bogoljubow Defense",1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Bd6
A13,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Catalan Defense",1. c4 e6 2. Nf3 d5 3. g3 b6 4. Bg2 Bb7 5. O-O
A13,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Catalan Defense",1. c4 e6 2. Nf3 d5 3. g3 c5
A13,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Catalan Defense Accepted",1. c4 e6 2. Nf3 Nf6 3. g3 d5 4. Bg2 dxc4
A13,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Catalan Defense, Semi-Slav Defense",1. c4 e6 2. Nf3 Nf6 3. g3 d5 4. Bg2 c6
A14,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Keres Defense",1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. O-O c5 6. cxd5 Nxd5 7. Nc3 Nc6
A13,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Kurajica Defense",1. c4 e6 2. Nf3 d5 3. g3 c6
A14,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Neo-Catalan Declined",1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. O-O
A14,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Neo-Catalan Declined",1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. O-O O-O 6. b3
A14,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Neo-Catalan Declined",1. Nf3 d5 2. g3 Nf6 3. Bg2 e6 4. O-O Be7 5. c4 O-O 6. b3 c5
A14,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Neo-Catalan Declined",1. Nf3 d5 2. g3 Nf6 3. Bg2 e6 4. O-O Be7 5. c4 O-O 6. b3 c5 7. e3
A14,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Neo-Catalan Declined",1. Nf3 d5 2. g3 Nf6 3. Bg2 e6 4. O-O Be7 5. c4 O-O 6. b3 c5 7. e3 d4
A14,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Neo-Catalan Declined",1. Nf3 d5 2. g3 Nf6 3. Bg2 e6 4. O-O Be7 5. c4 O-O 6. b3 c5 7. e3 Nc6
A14,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Neo-Catalan Declined, Early b3",1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. b3
A14,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Neo-Catalan Declined, Early b3",1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. b3 b6
A14,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Neo-Catalan Declined, Early b3",1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. b3 c5
A13,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Tarrasch Defense",1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 c5 5. b3 Nc6 6. O-O Be7
A13,English Opening,Agincourt Defense,"English Opening: Agincourt Defense, Wimpy System",1. c4 e6 2. Nf3 Nf6 3. b3 d5 4. Bb2 c5 5. e3
A10,English Opening,Anglo-Dutch Defense,English Opening: Anglo-Dutch Defense,1. c4 f5
A10,English Opening,Anglo-Dutch Defense,"English Opening: Anglo-Dutch Defense, Hickmann Gambit",1. c4 f5 2. e4
A10,English Opening,Anglo-Dutch Variation,"English Opening: Anglo-Dutch Variation, Chabanon Gambit",1. c4 f5 2. Nf3 d6 3. e4
A10,English Opening,Anglo-Dutch Variation,"English Opening: Anglo-Dutch Variation, Ferenc Gambit",1. c4 f5 2. Nc3 Nf6 3. e4
A16,English Opening,Anglo-Grünfeld Defense,English Opening: Anglo-Grünfeld Defense,1. c4 Nf6 2. Nc3 d5
A16,English Opening,Anglo-Grünfeld Defense,"English Opening: Anglo-Grünfeld Defense, Korchnoi Variation",1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. Nf3 g6 5. g3 Bg7 6. Bg2 e5
A15,English Opening,Anglo-Indian Defense,English Opening: Anglo-Indian Defense,1. c4 Nf6
A17,English Opening,Anglo-Indian Defense,English Opening: Anglo-Indian Defense,1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. Nf3 c5 5. e3 e6
A16,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation",1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. Nf3
A16,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation",1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. Nf3 g6
A16,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation",1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. g3 g6 5. Bg2 Nb6
A16,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation",1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. g3 g6 5. Bg2 Nxc3
A15,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Anti-Anti-Grünfeld",1. c4 Nf6 2. Nc3 g6 3. Nf3 Bg7 4. e4
A19,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Flohr-Mikenas-Carls Variation, Nei Gambit",1. c4 e6 2. Nc3 Nf6 3. e4 c5 4. e5 Ng8
A15,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Grünfeld Formation",1. c4 Nf6 2. Nf3 g6 3. g3 d5
A17,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Hedgehog System",1. c4 Nf6 2. Nc3 e6
A15,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, King's Indian Formation",1. c4 Nf6 2. Nf3 g6
A15,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, King's Indian Formation, Double Fianchetto",1. c4 Nf6 2. Nf3 g6 3. g3 b6 4. Bg2 Bb7
A15,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, King's Knight Variation",1. c4 Nf6 2. Nf3
A17,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Nimzo-English",1. c4 Nf6 2. Nc3 e6 3. Nf3 Bb4
A15,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Old Indian Formation",1. c4 Nf6 2. Nf3 d6
A15,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Queen's Indian Formation",1. c4 Nf6 2. Nf3 b6
A15,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Queen's Indian Formation",1. c4 e6 2. Nf3 Nf6 3. g3 b6 4. Bg2 Bb7
A17,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Queen's Indian Formation",1. c4 e6 2. Nc3 Nf6 3. Nf3 b6
A17,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Queen's Indian Variation",1. c4 e6 2. Nc3 Nf6 3. Nf3 b6 4. e4 Bb7 5. Bd3
A16,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",1. c4 Nf6 2. Nc3
A15,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Romanishin Variation",1. c4 e6 2. Nf3 Nf6 3. g3 a6
A15,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Scandinavian Defense",1. c4 Nf6 2. Nf3 d5
A15,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Scandinavian Defense, Exchange Variation",1. c4 Nf6 2. Nf3 d5 3. cxd5 Nxd5
A15,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Slav Formation",1. c4 Nf6 2. Nf3 g6 3. g3 c6
A17,English Opening,Anglo-Indian Defense,"English Opening: Anglo-Indian Defense, Zvjaginsev-Krasenkow Attack",1. c4 e6 2. Nc3 Nf6 3. Nf3 Bb4 4. g4
A10,English Opening,Anglo-Lithuanian Variation,English Opening: Anglo-Lithuanian Variation,1. c4 Nc6
A10,English Opening,Anglo-Scandinavian Defense,English Opening: Anglo-Scandinavian Defense,1. c4 d5
A10,English Opening,Anglo-Scandinavian Defense,"English Opening: Anglo-Scandinavian Defense, Löhn Gambit",1. c4 d5 2. cxd5 e6
A10,English Opening,Anglo-Scandinavian Defense,"English Opening: Anglo-Scandinavian Defense, Malvinas Variation",1. c4 d5 2. cxd5 Qxd5 3. Nc3 Qa5
A10,English Opening,Anglo-Scandinavian Defense,"English Opening: Anglo-Scandinavian Defense, Schulz Gambit",1. c4 d5 2. cxd5 Nf6
A22,English Opening,Carls-Bremen System,English Opening: Carls-Bremen System,1. c4 e5 2. Nc3 Nf6 3. g3
A11,English Opening,Caro-Kann Defensive System,English Opening: Caro-Kann Defensive System,1. c4 c6
A25,English Opening,Closed,"English Opening: Closed, Taimanov Variation",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Rb1 Nh6 5. Bg2 Bg7
A25,English Opening,Closed,"English Opening: Closed, Taimanov Variation",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e3 d6 6. Nge2 Nh6
A20,English Opening,Drill Variation,English Opening: Drill Variation,1. c4 e5 2. g3 h5
A28,English Opening,Four Knights System,"English Opening: Four Knights System, Nimzowitsch Variation",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. e4
A10,English Opening,Great Snake Variation,English Opening: Great Snake Variation,1. c4 g6
A10,English Opening,Jaenisch Gambit,English Opening: Jaenisch Gambit,1. c4 b5
A20,English Opening,King's English Variation,English Opening: King's English Variation,1. c4 e5
A21,English Opening,King's English Variation,English Opening: King's English Variation,1. c4 e5 2. Nc3 d6 3. Nf3
A22,English Opening,King's English Variation,"English Opening: King's English Variation, Adhiban Gambit",1. c4 e5 2. Nc3 Nf6 3. Nf3 e4 4. Ng5 c6
A22,English Opening,King's English Variation,"English Opening: King's English Variation, Bellon Gambit",1. c4 e5 2. Nc3 Nf6 3. Nf3 e4 4. Ng5 b5
A26,English Opening,King's English Variation,"English Opening: King's English Variation, Botvinnik System",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. e4
A10,English Opening,King's English Variation,"English Opening: King's English Variation, Botvinnik System, Prickly Pawn Pass System",1. c4 g6 2. Nc3 Bg7 3. g3 Nf6 4. Bg2 O-O 5. e4 d6 6. Nge2 e5 7. O-O c6 8. d3 a6
A25,English Opening,King's English Variation,"English Opening: King's English Variation, Bremen-Hort Variation",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e3 d6 6. Nge2 Be6
A25,English Opening,King's English Variation,"English Opening: King's English Variation, Closed System",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3
A26,English Opening,King's English Variation,"English Opening: King's English Variation, Closed System, Full Symmetry",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6
A28,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6
A28,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. d4 exd4 5. Nxd4 Bb4 6. Bg5 h6 7. Bh4 Bxc3+ 8. bxc3 Ne5
A28,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Bradley Beach Variation",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. d4 e4
A29,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3
A29,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line",1. c4 e5 2. g3 Nf6 3. Bg2 d5 4. cxd5 Nxd5 5. Nf3 Nc6
A29,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line",1. c4 e5 2. g3 Nf6 3. Bg2 d5 4. cxd5 Nxd5 5. Nf3 Nc6 6. d3
A29,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line",1. c4 e5 2. g3 Nf6 3. Bg2 d5 4. cxd5 Nxd5 5. Nf3 Nc6 6. d3 Be7 7. O-O O-O
A29,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, Delayed .. Nc6",1. c4 e5 2. Nc3 Nf6 3. g3 Bb4 4. Bg2 O-O 5. Nf3 Re8 6. O-O e4 7. Nd4 Nc6
A29,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 Bc5 5. d3 d6 6. Bg2
A29,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 Bc5 5. d3 d6 6. Bg2 O-O 7. O-O
A29,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6, Be7",1. c4 e5 2. Nc3 Nf6 3. g3 Nc6 4. Bg2 d6 5. d3 Be7 6. Nf3 O-O
A29,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6, a6",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 Bc5 5. d3 d6 6. Bg2 a6
A29,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6, h6",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 Bc5 5. d3 d6 6. Bg2 h6
A29,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with Bc5",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 d5 5. cxd5 Nxd5 6. Bg2 Bc5
A29,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with Nb6",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 d5 5. cxd5 Nxd5 6. Bg2 Nb6
A28,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Flexible Line",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. d3
A28,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Korchnoi Line",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. a3
A28,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Quiet Line",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. e3
A28,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Quiet Line",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. e3 Bb4 5. Qc2 Bxc3
A28,English Opening,King's English Variation,"English Opening: King's English Variation, Four Knights Variation, Quiet Line",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. e3 Bb4 5. Qc2 O-O 6. Nd5 Re8 7. Qf5
A25,English Opening,King's English Variation,"English Opening: King's English Variation, Hungarian Attack",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Rb1
A20,English Opening,King's English Variation,"English Opening: King's English Variation, Kahiko-Hula Gambit",1. c4 e5 2. e3 Nf6 3. f4 exf4 4. Nf3
A21,English Opening,King's English Variation,"English Opening: King's English Variation, Keres Defense",1. c4 e5 2. Nc3 d6 3. g3 c6
A21,English Opening,King's English Variation,"English Opening: King's English Variation, Kramnik-Shirov Counterattack",1. c4 e5 2. Nc3 Bb4
A20,English Opening,King's English Variation,"English Opening: King's English Variation, Nimzowitsch Variation",1. c4 e5 2. Nf3
A20,English Opening,King's English Variation,"English Opening: King's English Variation, Nimzowitsch-Flohr Variation",1. c4 e5 2. Nf3 e4
A25,English Opening,King's English Variation,"English Opening: King's English Variation, Reversed Closed Sicilian",1. c4 e5 2. Nc3 Nc6
A21,English Opening,King's English Variation,"English Opening: King's English Variation, Reversed Sicilian",1. c4 e5 2. Nc3
A21,English Opening,King's English Variation,"English Opening: King's English Variation, Smyslov Defense",1. c4 e5 2. Nc3 d6 3. Nf3 Bg4
A25,English Opening,King's English Variation,"English Opening: King's English Variation, Taimanov Variation",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7
A27,English Opening,King's English Variation,"English Opening: King's English Variation, Three Knights System",1. c4 e5 2. Nc3 Nc6 3. Nf3
A21,English Opening,King's English Variation,"English Opening: King's English Variation, Troger Defense",1. c4 e5 2. Nc3 Nc6 3. g3 d6 4. Bg2 Be6
A22,English Opening,King's English Variation,"English Opening: King's English Variation, Two Knights Variation",1. c4 e5 2. Nc3 Nf6
A24,English Opening,King's English Variation,"English Opening: King's English Variation, Two Knights Variation, Fianchetto Line",1. c4 e5 2. Nc3 Nf6 3. g3 g6
A23,English Opening,King's English Variation,"English Opening: King's English Variation, Two Knights Variation, Keres Variation",1. c4 e5 2. Nc3 Nf6 3. g3 c6
A23,English Opening,King's English Variation,"English Opening: King's English Variation, Two Knights Variation, Keres Variation",1. c4 e5 2. Nc3 Nf6 3. g3 Bc5 4. Bg2 c6
A22,English Opening,King's English Variation,"English Opening: King's English Variation, Two Knights Variation, Reversed Dragon",1. c4 e5 2. Nc3 Nf6 3. g3 d5
A22,English Opening,King's English Variation,"English Opening: King's English Variation, Two Knights Variation, Smyslov System",1. c4 e5 2. Nc3 Nf6 3. g3 Bb4
A22,English Opening,King's English,"English Opening: King's English, Erbenheimer Gambit",1. c4 e5 2. Nc3 Nf6 3. Nf3 e4 4. Ng5 Ng4
A22,English Opening,King's English,"English Opening: King's English, Mazedonisch",1. c4 e5 2. Nc3 Nf6 3. f4
A18,English Opening,Mikenas-Carls Variation,English Opening: Mikenas-Carls Variation,1. c4 e6 2. Nc3 Nf6 3. e4
A18,English Opening,Mikenas-Carls Variation,English Opening: Mikenas-Carls Variation,1. c4 e6 2. Nc3 Nf6 3. e4 Nc6
A18,English Opening,Mikenas-Carls Variation,English Opening: Mikenas-Carls Variation,1. c4 e6 2. Nc3 Nf6 3. e4 d5 4. e5
A19,English Opening,Mikenas-Carls,"English Opening: Mikenas-Carls, Sicilian",1. c4 e6 2. Nc3 Nf6 3. e4 c5
A10,English Opening,Myers Defense,English Opening: Myers Defense,1. c4 g5
A10,English Opening,Myers Gambit,English Opening: Myers Gambit,1. c4 g5 2. d4 Bg7
A13,English Opening,Neo-Catalan,English Opening: Neo-Catalan,1. c4 e6 2. Nf3 d5 3. g3 Nf6
A13,English Opening,Neo-Catalan Declined,English Opening: Neo-Catalan Declined,1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7
A10,English Opening,Porcupine Variation,English Opening: Porcupine Variation,1. c4 f5 2. Nc3 Nf6 3. e4 fxe4 4. g4
A13,English Opening,Romanishin Gambit,English Opening: Romanishin Gambit,1. c4 Nf6 2. Nf3 e6 3. g3 a6 4. Bg2 b5
A30,English Opening,Symmetrical Variation,English Opening: Symmetrical Variation,1. c4 c5
A30,English Opening,Symmetrical Variation,English Opening: Symmetrical Variation,1. c4 c5 2. Nf3
A34,English Opening,Symmetrical Variation,English Opening: Symmetrical Variation,1. c4 c5 2. Nf3 Nf6 3. Nc3 Nc6 4. g3 d5 5. d4 cxd4
A35,English Opening,Symmetrical Variation,English Opening: Symmetrical Variation,1. c4 c5 2. Nc3 Nf6 3. Nf3 e5
A31,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Anti-Benoni Variation",1. c4 Nf6 2. d4 c5 3. Nf3
A33,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Geller Variation",1. c4 e6 2. Nf3 Nf6 3. Nc3 c5 4. d4 Nc6 5. g3 cxd4 6. Nxd4 Qb6
A32,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense",1. c4 e6 2. d4 c5 3. Nf3 cxd4 4. Nxd4 Nf6
A33,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense",1. c4 e6 2. Nf3 Nf6 3. Nc3 c5 4. d4 cxd4 5. Nxd4 Nc6
A36,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Botvinnik System",1. c4 c5 2. e4 Nc6 3. Nc3 g6 4. g3 Bg7 5. Bg2
A37,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5
A37,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5 6. O-O d6
A37,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5 6. O-O Nge7
A37,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5 6. O-O Nge7 7. a3
A37,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5 6. O-O Nge7 7. d3
A37,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5 6. O-O Nge7 7. d3 d6
A36,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Botvinnik System Reversed, with e3",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e3 e5
A38,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Double Fianchetto",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6 6. O-O O-O 7. b3
A38,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Duchamp Variation",1. c4 Nf6 2. Nf3 g6 3. g3 Bg7 4. Bg2 O-O 5. O-O c5 6. Nc3 Nc6 7. d3
A34,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Fianchetto Variation",1. c4 Nf6 2. Nc3 c5 3. g3
A35,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Four Knights Variation",1. c4 Nf6 2. Nf3 c5 3. Nc3 Nc6
A38,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Full Symmetry Line",1. c4 Nf6 2. Nf3 c5 3. Nc3 Nc6 4. g3 g6 5. Bg2 Bg7
A30,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Hedgehog Defense",1. c4 e6 2. Nf3 Nf6 3. Nc3 c5 4. g3 b6 5. Bg2 Bb7 6. O-O Be7
A39,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Mecking Variation",1. c4 Nf6 2. Nf3 c5 3. Nc3 Nc6 4. g3 g6 5. Bg2 Bg7 6. O-O O-O 7. d4
A30,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Napolitano Gambit",1. c4 c5 2. Nf3 Nf6 3. b4
A34,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Normal Variation",1. c4 c5 2. Nc3
A34,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Rubinstein Variation",1. c4 Nf6 2. Nc3 c5 3. g3 d5 4. cxd5 Nxd5 5. Bg2 Nc7
A34,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Rubinstein Variation",1. c4 c5 2. Nf3 Nf6 3. Nc3 d5 4. cxd5 Nxd5 5. g3 Nc6 6. Bg2 Nc7
A34,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Three Knights Variation",1. c4 c5 2. Nc3 Nf6 3. Nf3
A37,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3
A35,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Two Knights Variation",1. c4 c5 2. Nc3 Nc6
A36,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Two Knights, Fianchetto Variation",1. c4 c5 2. Nc3 Nc6 3. g3
A36,English Opening,Symmetrical Variation,"English Opening: Symmetrical Variation, Ultra-Symmetrical Variation",1. c4 c5 2. g3 g6 3. Bg2 Bg7 4. Nc3 Nc6
A30,English Opening,Symmetrical,"English Opening: Symmetrical, Hedgehog, Flexible Formation",1. c4 e6 2. Nf3 c5 3. Nc3 Nf6 4. g3 b6 5. Bg2 Bb7 6. O-O Be7 7. d4 cxd4 8. Qxd4 d6 9. Rd1 a6 10. b3 Nbd7
C20,English Opening,The Whale,English Opening: The Whale,1. e4 e5 2. c4
A10,English Opening,Wade Gambit,English Opening: Wade Gambit,1. c4 f5 2. g4
