country,title,number,name,term_start,term_end,party
United States,Leaders,1,George B. Cortelyou,1903-02-18,1904-06-30,
United States,Leaders,2,Victor H. Metcalf,1904-07-01,1906-12-16,
United States,Leaders,3,Oscar S. Straus,1906-12-17,1909-03-04,
United States,Leaders,4,Charles Nagel,1909-03-06,1913-03-04,
United States,Leaders,5,William C. Redfield,1913-03-05,1919-10-31,
United States,Leaders,6,Joshua W. Alexander,1919-12-16,1921-03-04,
United States,Leaders,7,Herbert Hoover,1921-03-05,1928-08-21,
United States,Leaders,8,William F. Whiting,1928-08-22,1929-03-04,
United States,Leaders,9,Robert P. Lamont,1929-03-05,1932-07-07,
United States,Leaders,10,Roy D. Chapin,1932-08-08,1933-03-04,
United States,Leaders,11,Daniel C. Roper,1933-03-04,1938-12-23,
United States,Leaders,12,Harry Hopkins,1938-12-24,1940-09-18,
United States,Leaders,13,Jesse H. Jones,1940-09-19,1945-03-01,
United States,Leaders,14,Henry A. Wallace,1945-03-02,1946-09-20,
United States,Leaders,15,W. Averell Harriman,1946-10-07,1948-04-22,
United States,Leaders,16,Charles W. Sawyer,1948-05-06,1953-01-20,
United States,Leaders,17,Sinclair Weeks,1953-01-21,1958-11-10,
United States,Leaders,18,Lewis L. Strauss,1958-11-12,1959-06-30,
United States,Leaders,19,Frederick H. Mueller,1959-07-10,1961-01-20,
United States,Leaders,20,Luther H. Hodges,1961-01-21,1965-01-15,
United States,Leaders,21,John T. Connor,1965-01-18,1967-01-31,
United States,Leaders,22,Alexander B. Trowbridge,1967-06-14,1968-03-01,
United States,Leaders,23,C. R. Smith,1968-03-06,1969-01-20,
United States,Leaders,24,Maurice Stans,1969-01-21,1972-01-25,
United States,Leaders,25,Peter G. Peterson,1972-01-26,1973-02-01,
United States,Leaders,26,Frederick B. Dent,1973-02-02,1975-03-26,
United States,Leaders,27,Rogers Morton,1975-04-30,1976-02-02,
United States,Leaders,28,Elliot Richardson,1976-02-02,1977-01-20,
United States,Leaders,29,Juanita M. Kreps,1977-01-23,1979-10-31,
United States,Leaders,30,Philip Klutznick,1980-01-09,1981-01-20,
United States,Leaders,31,Malcolm Baldrige Jr.,1981-01-22,1987-07-25,
United States,Leaders,32,C. William Verity Jr.,1987-10-19,1989-01-20,
United States,Leaders,33,Robert Mosbacher,1989-02-10,1992-01-07,
United States,Leaders,34,Barbara Hackman Franklin,1992-02-27,1993-01-20,
United States,Leaders,35,Ron Brown,1993-01-22,1996-04-03,
United States,Leaders,36,Mickey Kantor,1996-04-12,1997-01-21,
United States,Leaders,37,William M. Daley,1997-01-30,2000-07-19,
United States,Leaders,38,Norman Mineta,2000-07-20,2001-01-20,
United States,Leaders,39,Donald Evans,2001-01-20,2005-02-07,
United States,Leaders,40,Carlos Gutierrez,2005-02-07,2009-01-20,
United States,Leaders,41,Gary Locke,2009-03-26,2011-08-01,
United States,Leaders,42,John Bryson,2011-10-21,2012-06-21,
United States,Leaders,43,Penny Pritzker,2013-06-26,2017-01-20,
United States,Leaders,44,Wilbur Ross,2017-02-28,2021-01-20,
United States,Leaders,45,Gina Raimondo,2021-03-03,2025-01-20,
United States,Leaders,46,Howard Lutnick,2025-02-21,Incumbent,
United States,Leaders,1,James Forrestal,1947-09-17,1949-03-28,
United States,Leaders,2,Louis A. Johnson,1949-03-28,1950-09-19,
United States,Leaders,3,George C. Marshall,1950-09-21,1951-09-12,
United States,Leaders,4,Robert A. Lovett,1951-09-17,1953-01-20,
United States,Leaders,5,Charles E. Wilson,1953-01-28,1957-10-08,
United States,Leaders,6,Neil H. McElroy,1957-10-09,1959-12-01,
United States,Leaders,7,Thomas S. Gates Jr.,1959-12-02,1961-01-20,
United States,Leaders,8,Robert McNamara,1961-01-21,1968-02-29,
United States,Leaders,9,Clark Clifford,1968-03-01,1969-01-20,
United States,Leaders,10,Melvin Laird,1969-01-22,1973-01-29,
United States,Leaders,11,Elliot Richardson,1973-01-30,1973-05-24,
United States,Leaders,12,James R. Schlesinger,1973-07-02,1975-11-19,
United States,Leaders,13,Donald Rumsfeld,1975-11-20,1977-01-20,
United States,Leaders,14,Harold Brown,1977-01-21,1981-01-20,
United States,Leaders,15,Caspar Weinberger,1981-01-21,1987-11-23,
United States,Leaders,16,Frank Carlucci,1987-11-23,1989-01-20,
United States,Leaders,17,Dick Cheney,1989-03-21,1993-01-20,
United States,Leaders,18,Les Aspin,1993-01-21,1994-02-03,
United States,Leaders,19,William J. Perry,1994-02-03,1997-01-23,
United States,Leaders,20,William Cohen,1997-01-24,2001-01-20,
United States,Leaders,21,Donald Rumsfeld,2001-01-20,2006-12-18,
United States,Leaders,22,Robert Gates,2006-12-18,2011-07-01,
United States,Leaders,23,Leon Panetta,2011-07-01,2013-02-27,
United States,Leaders,24,Chuck Hagel,2013-02-27,2015-02-17,
United States,Leaders,25,Ash Carter,2015-02-17,2017-01-20,
United States,Leaders,26,James Mattis,2017-01-20,2019-01-01,
United States,Leaders,27,Mark Esper,2019-07-23,2020-11-09,
United States,Leaders,28,Lloyd Austin,2021-01-22,2025-01-20,
United States,Leaders,29,Pete Hegseth,2025-01-25,Incumbent,
United States,Leaders,1,Shirley Hufstedler,1979-12-06,1981-01-20,
United States,Leaders,2,Terrel Bell,1981-01-22,1985-01-20,
United States,Leaders,3,William Bennett,1985-02-06,1988-09-20,
United States,Leaders,4,Lauro Cavazos,1988-09-20,1990-12-12,
United States,Leaders,5,Lamar Alexander,1991-03-22,1993-01-20,
United States,Leaders,6,Richard Riley,1993-01-21,2001-01-20,
United States,Leaders,7,Rod Paige,2001-01-20,2005-01-20,
United States,Leaders,8,Margaret Spellings,2005-01-20,2009-01-20,
United States,Leaders,9,Arne Duncan,2009-01-21,2015-12-31,
United States,Leaders,10,John King Jr.,2016-03-14,2017-01-20,
United States,Leaders,11,Betsy DeVos,2017-02-07,2021-01-20,
United States,Leaders,12,Miguel Cardona,2021-03-01,2025-01-20,
United States,Leaders,13,Linda McMahon,2025-03-03,Incumbent,
United States,Leaders,1,James R. Schlesinger,1977-10-01,1979-08-23,
United States,Leaders,2,Charles Duncan Jr.,1979-08-24,1981-01-20,
United States,Leaders,3,James B. Edwards,1981-01-23,1982-11-05,
United States,Leaders,4,Donald P. Hodel,1982-11-05,1985-02-07,
United States,Leaders,5,John S. Herrington,1985-02-07,1989-01-20,
United States,Leaders,6,James D. Watkins,1989-03-01,1993-01-20,
United States,Leaders,7,Hazel R. O'Leary,1993-01-22,1997-01-20,
United States,Leaders,8,Federico Peña,1997-03-12,1998-06-30,
United States,Leaders,9,Bill Richardson,1998-08-18,2001-01-20,
United States,Leaders,10,Spencer Abraham,2001-01-20,2005-01-31,
United States,Leaders,11,Samuel Bodman,2005-02-01,2009-01-20,
United States,Leaders,12,Steven Chu,2009-01-21,2013-04-22,
United States,Leaders,13,Ernest Moniz,2013-05-21,2017-01-20,
United States,Leaders,14,Rick Perry,2017-03-02,2019-12-01,
United States,Leaders,15,Dan Brouillette,2019-12-04,2021-01-20,
United States,Leaders,16,Jennifer Granholm,2021-02-25,2025-01-20,
United States,Leaders,17,Chris Wright,2025-02-04,Incumbent,
United States,Leaders,1,Oveta Culp Hobby,1953-04-11,1955-07-31,
United States,Leaders,2,Marion B. Folsom,1955-08-01,1958-07-31,
United States,Leaders,3,Arthur S. Flemming,1958-08-01,1961-01-20,
United States,Leaders,4,Abraham Ribicoff,1961-01-21,1962-07-13,
United States,Leaders,5,Anthony J. Celebrezze,1962-07-31,1965-08-17,
United States,Leaders,6,John W. Gardner,1965-08-18,1968-03-01,
United States,Leaders,7,Wilbur J. Cohen,1968-05-16,1969-01-20,
United States,Leaders,8,Robert Finch,1969-01-21,1970-06-23,
United States,Leaders,9,Elliot Richardson,1970-06-24,1973-01-29,
United States,Leaders,10,Caspar Weinberger,1973-02-12,1975-08-08,
United States,Leaders,11,F. David Mathews,1975-08-08,1977-01-20,
United States,Leaders,12,Joseph A. Califano Jr.,1977-01-25,1979-08-03,
United States,Leaders,13,Patricia Roberts Harris,1979-08-03,1981-01-20,
United States,Leaders,14,Richard Schweiker,1981-01-22,1983-02-03,
United States,Leaders,15,Margaret Heckler,1983-03-09,1985-12-13,
United States,Leaders,16,Otis R. Bowen,1985-12-13,1989-01-20,
United States,Leaders,17,Louis W. Sullivan,1989-03-01,1993-01-20,
United States,Leaders,18,Donna Shalala,1993-01-22,2001-01-20,
United States,Leaders,19,Tommy Thompson,2001-02-02,2005-01-26,
United States,Leaders,20,Mike Leavitt,2005-01-26,2009-01-20,
United States,Leaders,21,Kathleen Sebelius,2009-04-28,2014-06-09,
United States,Leaders,22,Sylvia Mathews Burwell,2014-06-09,2017-01-20,
United States,Leaders,23,Tom Price,2017-02-10,2017-09-29,
United States,Leaders,24,Alex Azar,2018-01-29,2021-01-20,
United States,Leaders,25,Xavier Becerra,2021-03-19,2025-01-20,
United States,Leaders,26,Robert F. Kennedy Jr.,2025-02-13,Incumbent,
United States,Leaders,1,Tom Ridge,2003-01-24,2005-02-01,
United States,Leaders,2,Michael Chertoff,2005-02-15,2009-01-20,
United States,Leaders,3,Janet Napolitano,2009-01-21,2013-09-06,
United States,Leaders,4,Jeh Johnson,2013-12-16,2017-01-20,
United States,Leaders,5,John F. Kelly,2017-01-20,2017-07-31,
United States,Leaders,6,Kirstjen Nielsen,2017-12-06,2019-04-10,
United States,Leaders,7,Kevin McAleenan (Acting),2019-04-10,2019-11-13,
United States,Leaders,8,Chad Wolf (Acting),2019-11-13,2021-01-11,
United States,Leaders,9,Alejandro Mayorkas,2021-02-02,2025-01-20,
United States,Leaders,10,Kristi Noem,2025-01-25,Incumbent,
United States,Leaders,1,Robert C. Weaver,1966-01-18,1968-12-31,
United States,Leaders,2,Robert C. Wood,1969-01-07,1969-01-20,
United States,Leaders,3,George W. Romney,1969-01-22,1973-01-20,
United States,Leaders,4,James T. Lynn,1973-02-02,1975-02-05,
United States,Leaders,5,Carla A. Hills,1975-03-10,1977-01-20,
United States,Leaders,6,Patricia Roberts Harris,1977-01-23,1979-08-03,
United States,Leaders,7,Moon Landrieu,1979-08-03,1981-01-20,
United States,Leaders,8,Samuel R. Pierce Jr.,1981-01-23,1989-01-20,
United States,Leaders,9,Jack Kemp,1989-02-13,1993-01-20,
United States,Leaders,10,Henry Cisneros,1993-01-22,1997-01-20,
United States,Leaders,11,Andrew Cuomo,1997-01-29,2001-01-20,
United States,Leaders,12,Mel Martinez,2001-01-24,2004-12-12,
United States,Leaders,13,Alphonso Jackson,2004-12-13,2008-04-18,
United States,Leaders,14,Steve Preston,2008-06-04,2009-01-20,
United States,Leaders,15,Shaun Donovan,2009-01-26,2014-07-28,
United States,Leaders,16,Julian Castro,2014-07-28,2017-01-20,
United States,Leaders,17,Ben Carson,2017-03-02,2021-01-20,
United States,Leaders,18,Marcia Fudge,2021-03-10,2024-03-22,
United States,Leaders,19,Adrianne Todman (Acting),2024-03-22,2025-01-20,
United States,Leaders,20,Scott Turner,2025-02-05,Incumbent,
United States,Leaders,1,Thomas Ewing,1849-03-08,1850-07-22,
United States,Leaders,2,Thomas M. T. McKennan,1850-08-15,1850-08-26,
United States,Leaders,3,Alexander H. H. Stuart,1850-09-12,1853-03-07,
United States,Leaders,4,Robert McClelland,1853-03-08,1857-03-09,
United States,Leaders,5,Jacob Thompson,1857-03-10,1861-01-08,
United States,Leaders,6,Caleb B. Smith,1861-03-05,1862-12-31,
United States,Leaders,7,John P. Usher,1863-01-01,1865-05-15,
United States,Leaders,8,James Harlan,1865-05-16,1866-08-31,
United States,Leaders,9,Orville H. Browning,1866-09-01,1869-03-04,
United States,Leaders,10,Jacob D. Cox,1869-03-05,1870-10-31,
United States,Leaders,11,Columbus Delano,1870-11-01,1875-09-30,
United States,Leaders,12,Zachariah Chandler,1875-10-19,1877-03-11,
United States,Leaders,13,Carl Schurz,1877-03-12,1881-03-07,
United States,Leaders,14,Samuel J. Kirkwood,1881-03-08,1882-04-17,
United States,Leaders,15,Henry M. Teller,1882-04-17,1885-03-03,
United States,Leaders,16,Lucius Q. C. Lamar,1885-03-06,1888-01-10,
United States,Leaders,17,William F. Vilas,1888-01-16,1889-03-06,
United States,Leaders,18,John W. Noble,1889-03-07,1893-03-06,
United States,Leaders,19,Hoke Smith,1893-03-07,1896-09-01,
United States,Leaders,20,David R. Francis,1896-09-03,1897-03-05,
United States,Leaders,21,Cornelius N. Bliss,1897-03-06,1899-02-19,
United States,Leaders,22,Ethan A. Hitchcock,1899-02-20,1907-03-04,
United States,Leaders,23,James R. Garfield,1907-03-05,1909-03-05,
United States,Leaders,24,Richard A. Ballinger,1909-03-06,1911-03-12,
United States,Leaders,25,Walter L. Fisher,1911-03-13,1913-03-05,
United States,Leaders,26,Franklin K. Lane,1913-03-06,1920-03-01,
United States,Leaders,27,John B. Payne,1920-03-02,1921-03-04,
United States,Leaders,28,Albert B. Fall,1921-03-05,1923-03-04,
United States,Leaders,29,Hubert Work,1923-03-05,1928-07-24,
United States,Leaders,30,Roy O. West,1928-07-25,1929-03-04,
United States,Leaders,31,Ray Lyman Wilbur,1929-03-05,1933-03-04,
United States,Leaders,32,Harold L. Ickes,1933-03-04,1946-02-15,
United States,Leaders,33,Julius A. Krug,1946-03-06,1949-12-01,
United States,Leaders,34,Oscar L. Chapman,1949-12-01,1953-01-20,
United States,Leaders,35,Douglas McKay,1953-01-21,1956-03-15,
United States,Leaders,36,Fred A. Seaton,1956-06-08,1961-01-20,
United States,Leaders,37,Stewart Udall,1961-01-21,1969-01-20,
United States,Leaders,38,Wally Hickel,1969-01-24,1970-11-25,
United States,Leaders,39,Rogers Morton,1971-01-29,1975-04-30,
United States,Leaders,40,Stanley K. Hathaway,1975-06-11,1975-10-09,
United States,Leaders,41,Thomas S. Kleppe,1975-10-17,1977-01-20,
United States,Leaders,42,Cecil Andrus,1977-01-23,1981-01-20,
United States,Leaders,43,James G. Watt,1981-01-23,1983-11-08,
United States,Leaders,44,William P. Clark Jr.,1983-11-18,1985-02-07,
United States,Leaders,45,Donald P. Hodel,1985-02-08,1989-01-20,
United States,Leaders,46,Manuel Lujan Jr.,1989-03-08,1993-01-20,
United States,Leaders,47,Bruce Babbitt,1993-01-22,2001-01-20,
United States,Leaders,48,Gale Norton,2001-01-31,2006-03-31,
United States,Leaders,49,Dirk Kempthorne,2006-05-29,2009-01-20,
United States,Leaders,50,Ken Salazar,2009-01-20,2013-04-12,
United States,Leaders,51,Sally Jewell,2013-04-12,2017-01-20,
United States,Leaders,52,Ryan Zinke,2017-03-01,2019-01-02,
United States,Leaders,53,David Bernhardt,2019-04-11,2021-01-20,
United States,Leaders,54,Deb Haaland,2021-03-16,2025-01-20,
United States,Leaders,55,Doug Burgum,2025-02-01,Incumbent,
United States,Leaders,1,Edmund Randolph,1789-09-26,1794-01-02,
United States,Leaders,2,William Bradford,1794-01-27,1795-08-23,
United States,Leaders,3,Charles Lee,1795-12-10,1801-03-04,
United States,Leaders,4,Levi Lincoln Sr.,1801-03-05,1805-03-04,
United States,Leaders,5,John Breckinridge,1805-08-07,1806-12-14,
United States,Leaders,6,Caesar A. Rodney,1807-01-20,1811-12-10,
United States,Leaders,7,William Pinkney,1811-12-11,1814-02-09,
United States,Leaders,8,Richard Rush,1814-02-10,1817-11-12,
United States,Leaders,9,William Wirt,1817-11-13,1829-03-04,
United States,Leaders,10,John M. Berrien,1829-03-09,1831-06-22,
United States,Leaders,11,Roger B. Taney,1831-07-20,1833-11-14,
United States,Leaders,12,Benjamin F. Butler,1833-11-15,1838-09-04,
United States,Leaders,13,Felix Grundy,1838-09-05,1840-01-10,
United States,Leaders,14,Henry D. Gilpin,1840-01-11,1841-03-04,
United States,Leaders,15,John J. Crittenden,1841-03-05,1841-09-13,
United States,Leaders,16,Hugh S. Legaré,1841-09-20,1843-06-20,
United States,Leaders,17,John Nelson,1843-07-01,1845-03-04,
United States,Leaders,18,John Y. Mason,1845-03-06,1846-10-16,
United States,Leaders,19,Nathan Clifford,1846-10-17,1848-03-17,
United States,Leaders,20,Isaac Toucey,1848-06-21,1849-03-04,
United States,Leaders,21,Reverdy Johnson,1849-03-08,1850-07-22,
United States,Leaders,22,John J. Crittenden,1850-07-23,1853-03-04,
United States,Leaders,23,Caleb Cushing,1853-03-07,1857-03-04,
United States,Leaders,24,Jeremiah S. Black,1857-03-06,1860-12-17,
United States,Leaders,25,Edwin M. Stanton,1860-12-20,1861-03-04,
United States,Leaders,26,Edward Bates,1861-03-05,1864-11-24,
United States,Leaders,27,James Speed,1864-12-02,1866-07-22,
United States,Leaders,28,Henry Stanbery,1866-07-23,1868-03-12,
United States,Leaders,29,William M. Evarts,1868-07-17,1869-03-04,
United States,Leaders,30,Ebenezer R. Hoar,1869-03-05,1870-11-22,
United States,Leaders,31,Amos T. Akerman,1870-11-23,1871-12-13,
United States,Leaders,32,George H. Williams,1871-12-14,1875-04-25,
United States,Leaders,33,Edwards Pierrepont,1875-04-26,1876-05-21,
United States,Leaders,34,Alphonso Taft,1876-05-22,1877-03-04,
United States,Leaders,35,Charles Devens,1877-03-12,1881-03-04,
United States,Leaders,36,Wayne MacVeagh,1881-03-05,1881-12-15,
United States,Leaders,37,Benjamin H. Brewster,1881-12-16,1885-03-04,
United States,Leaders,38,Augustus H. Garland,1885-03-06,1889-03-04,
United States,Leaders,39,William H. H. Miller,1889-03-07,1893-03-04,
United States,Leaders,40,Richard Olney,1893-03-06,1895-06-07,
United States,Leaders,41,Judson Harmon,1895-06-08,1897-03-04,
United States,Leaders,42,Joseph McKenna,1897-03-05,1898-01-25,
United States,Leaders,43,John W. Griggs,1898-01-25,1901-03-29,
United States,Leaders,44,Philander C. Knox,1901-04-05,1904-06-30,
United States,Leaders,45,William H. Moody,1904-07-01,1906-12-17,
United States,Leaders,46,Charles J. Bonaparte,1906-12-17,1909-03-04,
United States,Leaders,47,George W. Wickersham,1909-03-04,1913-03-05,
United States,Leaders,48,James C. McReynolds,1913-03-05,1914-08-29,
United States,Leaders,49,Thomas W. Gregory,1914-08-29,1919-03-04,
United States,Leaders,50,A. Mitchell Palmer,1919-03-05,1921-03-04,
United States,Leaders,51,Harry M. Daugherty,1921-03-05,1924-04-06,
United States,Leaders,52,Harlan F. Stone,1924-04-07,1925-03-01,
United States,Leaders,53,John G. Sargent,1925-03-07,1929-03-04,
United States,Leaders,54,William D. Mitchell,1929-03-05,1933-03-04,
United States,Leaders,55,Homer Stille Cummings,1933-03-05,1939-01-02,
United States,Leaders,56,Frank Murphy,1939-01-02,1940-01-18,
United States,Leaders,57,Robert H. Jackson,1940-01-18,1941-08-25,
United States,Leaders,58,Francis Biddle,1941-08-26,1945-06-30,
United States,Leaders,59,Tom C. Clark,1945-06-30,1949-08-19,
United States,Leaders,60,J. Howard McGrath,1949-08-19,1952-04-03,
United States,Leaders,61,James P. McGranery,1952-05-27,1953-01-20,
United States,Leaders,62,Herbert Brownell Jr.,1953-01-21,1957-10-23,
United States,Leaders,63,William P. Rogers,1957-10-23,1961-01-20,
United States,Leaders,64,Robert F. Kennedy,1961-01-20,1964-09-03,
United States,Leaders,65,Nicholas Katzenbach,1965-02-11,1966-10-02,
United States,Leaders,66,Ramsey Clark,1967-03-10,1969-01-20,
United States,Leaders,67,John N. Mitchell,1969-01-21,1972-02-29,
United States,Leaders,68,Richard Kleindienst,1972-06-12,1973-04-30,
United States,Leaders,69,Elliot Richardson,1973-05-25,1973-10-20,
United States,Leaders,70,William B. Saxbe,1974-01-04,1975-01-14,
United States,Leaders,71,Edward H. Levi,1975-01-14,1977-01-20,
United States,Leaders,72,Griffin Bell,1977-01-26,1979-08-16,
United States,Leaders,73,Benjamin Civiletti,1979-08-16,1981-01-20,
United States,Leaders,74,William French Smith,1981-01-23,1985-02-25,
United States,Leaders,75,Edwin Meese,1985-02-25,1988-08-12,
United States,Leaders,76,Dick Thornburgh,1988-08-12,1991-08-15,
United States,Leaders,77,William Barr,1991-08-16,1993-01-20,
United States,Leaders,78,Janet Reno,1993-03-12,2001-01-20,
United States,Leaders,79,John Ashcroft,2001-02-02,2005-02-03,
United States,Leaders,80,Alberto Gonzales,2005-02-03,2007-09-17,
United States,Leaders,81,Michael Mukasey,2007-11-09,2009-01-20,
United States,Leaders,82,Eric Holder,2009-02-03,2015-04-27,
United States,Leaders,83,Loretta Lynch,2015-04-27,2017-01-20,
United States,Leaders,84,Jeff Sessions,2017-02-09,2018-11-07,
United States,Leaders,85,William Barr,2019-02-14,2020-12-23,
United States,Leaders,86,Merrick Garland,2021-03-11,2025-01-20,
United States,Leaders,87,Pam Bondi,2025-02-05,Incumbent,
United States,Leaders,1,William B. Wilson,1913-03-06,1921-03-04,
United States,Leaders,2,James J. Davis,1921-03-05,1930-11-30,
United States,Leaders,3,William N. Doak,1930-12-09,1933-03-04,
United States,Leaders,4,Frances Perkins,1933-03-04,1945-06-30,
United States,Leaders,5,Lewis B. Schwellenbach,1945-07-01,1948-06-10,
United States,Leaders,6,Maurice J. Tobin,1948-08-13,1953-01-20,
United States,Leaders,7,Martin P. Durkin,1953-01-21,1953-09-10,
United States,Leaders,8,James P. Mitchell,1953-10-09,1961-01-20,
United States,Leaders,9,Arthur Goldberg,1961-01-21,1962-09-20,
United States,Leaders,10,W. Willard Wirtz,1962-09-25,1969-01-20,
United States,Leaders,11,George Shultz,1969-01-22,1970-07-01,
United States,Leaders,12,James D. Hodgson,1970-07-02,1973-01-20,
United States,Leaders,13,Peter J. Brennan,1973-02-02,1975-03-15,
United States,Leaders,14,John T. Dunlop,1975-03-18,1976-01-31,
United States,Leaders,15,William Usery Jr.,1976-02-10,1977-01-20,
United States,Leaders,16,Ray Marshall,1977-01-27,1981-01-20,
United States,Leaders,17,Raymond J. Donovan,1981-02-04,1985-03-15,
United States,Leaders,18,Bill Brock,1985-04-29,1987-10-31,
United States,Leaders,19,Ann McLaughlin Korologos,1987-12-14,1989-01-20,
United States,Leaders,20,Elizabeth Dole,1989-01-30,1990-11-23,
United States,Leaders,21,Lynn Morley Martin,1991-02-22,1993-01-20,
United States,Leaders,22,Robert Reich,1993-01-22,1997-01-20,
United States,Leaders,23,Alexis Herman,1997-05-01,2001-01-20,
United States,Leaders,24,Elaine Chao,2001-01-29,2009-01-20,
United States,Leaders,25,Hilda Solis,2009-02-24,2013-01-22,
United States,Leaders,26,Thomas Perez,2013-07-23,2017-01-20,
United States,Leaders,27,Alexander Acosta,2017-04-28,2019-07-19,
United States,Leaders,28,Eugene Scalia,2019-09-30,2021-01-20,
United States,Leaders,29,Marty Walsh,2021-03-23,2023-03-11,
United States,Leaders,30,Julie Su (Acting),2023-03-11,2025-01-20,
United States,Leaders,31,Lori Chavez-DeRemer,2025-03-11,Incumbent,
United States,Leaders,1,Thomas Jefferson,1790-03-22,1793-12-31,
United States,Leaders,2,Edmund J. Randolph,1794-01-02,1795-08-20,
United States,Leaders,3,Timothy Pickering,1795-12-10,1800-05-12,
United States,Leaders,4,John Marshall,1800-06-06,1801-03-04,
United States,Leaders,5,James Madison,1801-03-05,1809-03-03,
United States,Leaders,6,Robert Smith,1809-03-06,1811-04-01,
United States,Leaders,7,James Monroe,1811-04-02,1817-03-04,
United States,Leaders,8,John Quincy Adams,1817-09-22,1825-03-04,
United States,Leaders,9,Henry Clay,1825-03-07,1829-03-04,
United States,Leaders,10,Martin Van Buren,1829-03-28,1831-05-23,
United States,Leaders,11,Edward Livingston,1831-05-24,1833-05-29,
United States,Leaders,12,Louis McLane,1833-05-29,1834-06-30,
United States,Leaders,13,John Forsyth,1834-06-27,1841-03-04,
United States,Leaders,14,Daniel Webster,1841-03-06,1843-05-08,
United States,Leaders,15,Abel P. Upshur,1843-07-24,1844-02-28,
United States,Leaders,16,John C. Calhoun,1844-04-01,1845-03-10,
United States,Leaders,17,James Buchanan,1845-03-10,1849-03-07,
United States,Leaders,18,John M. Clayton,1849-03-08,1850-07-22,
United States,Leaders,19,Daniel Webster,1850-07-23,1852-10-24,
United States,Leaders,20,Edward Everett,1852-11-06,1853-03-04,
United States,Leaders,21,William L. Marcy,1853-03-07,1857-03-06,
United States,Leaders,22,Lewis Cass,1857-03-06,1860-12-14,
United States,Leaders,23,Jeremiah S. Black,1860-12-17,1861-03-05,
United States,Leaders,24,William H. Seward,1861-03-05,1869-03-04,
United States,Leaders,25,Elihu B. Washburne,1869-03-05,1869-03-16,
United States,Leaders,26,Hamilton Fish,1869-03-17,1877-03-12,
United States,Leaders,27,William M. Evarts,1877-03-12,1881-03-07,
United States,Leaders,28,James G. Blaine,1881-03-07,1881-12-19,
United States,Leaders,29,Frederick T. Frelinghuysen,1881-12-19,1885-03-06,
United States,Leaders,30,Thomas F. Bayard,1885-03-07,1889-03-06,
United States,Leaders,31,James G. Blaine,1889-03-07,1892-06-04,
United States,Leaders,32,John W. Foster,1892-06-29,1893-02-23,
United States,Leaders,33,Walter Q. Gresham,1893-03-07,1895-05-28,
United States,Leaders,34,Richard Olney,1895-06-10,1897-03-05,
United States,Leaders,35,John Sherman,1897-03-06,1898-04-27,
United States,Leaders,36,William R. Day,1898-04-28,1898-09-16,
United States,Leaders,37,John Hay,1898-09-30,1905-07-01,
United States,Leaders,38,Elihu Root,1905-07-19,1909-01-27,
United States,Leaders,39,Robert Bacon,1909-01-27,1909-03-05,
United States,Leaders,40,Philander C. Knox,1909-03-06,1913-03-05,
United States,Leaders,41,William J. Bryan,1913-03-05,1915-06-09,
United States,Leaders,42,Robert Lansing,1915-06-24,1920-02-13,
United States,Leaders,43,Bainbridge Colby,1920-03-23,1921-03-04,
United States,Leaders,44,Charles E. Hughes,1921-03-05,1925-03-04,
United States,Leaders,45,Frank B. Kellogg,1925-03-05,1929-03-28,
United States,Leaders,46,Henry L. Stimson,1929-03-28,1933-03-04,
United States,Leaders,47,Cordell Hull,1933-03-04,1944-11-30,
United States,Leaders,48,Edward Stettinius Jr.,1944-12-01,1945-06-27,
United States,Leaders,49,James F. Byrnes,1945-07-03,1947-01-21,
United States,Leaders,50,George C. Marshall,1947-01-21,1949-01-20,
United States,Leaders,51,Dean Acheson,1949-01-21,1953-01-20,
United States,Leaders,52,John Foster Dulles,1953-01-21,1959-04-22,
United States,Leaders,53,Christian A. Herter,1959-04-22,1961-01-20,
United States,Leaders,54,Dean Rusk,1961-01-21,1969-01-20,
United States,Leaders,55,William P. Rogers,1969-01-22,1973-09-03,
United States,Leaders,56,Henry Kissinger,1973-09-22,1977-01-20,
United States,Leaders,57,Cyrus Vance,1977-01-23,1980-04-28,
United States,Leaders,58,Edmund Muskie,1980-05-08,1981-01-20,
United States,Leaders,59,Alexander Haig,1981-01-22,1982-07-05,
United States,Leaders,60,George P. Shultz,1982-07-16,1989-01-20,
United States,Leaders,61,James Baker,1989-01-25,1992-08-23,
United States,Leaders,62,Lawrence Eagleburger,1992-12-08,1993-01-20,
United States,Leaders,63,Warren Christopher,1993-01-20,1997-01-17,
United States,Leaders,64,Madeleine Albright,1997-01-23,2001-01-20,
United States,Leaders,65,Colin Powell,2001-01-20,2005-03-16,
United States,Leaders,66,Condoleezza Rice,2005-01-26,2009-01-20,
United States,Leaders,67,Hillary Clinton,2009-01-21,2013-02-01,
United States,Leaders,68,John Kerry,2013-02-01,2017-01-20,
United States,Leaders,69,Rex Tillerson,2017-02-01,2018-03-31,
United States,Leaders,70,Mike Pompeo,2018-04-26,2021-01-20,
United States,Leaders,71,Antony Blinken,2021-01-26,2025-01-20,
United States,Leaders,72,Marco Rubio,2025-01-21,Incumbent,
United States,Leaders,1,Alan S. Boyd,1967-01-16,1969-01-20,
United States,Leaders,2,John A. Volpe,1969-01-22,1973-02-02,
United States,Leaders,3,Claude Brinegar,1973-02-02,1975-02-01,
United States,Leaders,4,William T. Coleman Jr.,1975-03-07,1977-01-20,
