sport,gender,competition_tour,competition_type,competition,competition_area,season,month,host_city,host_state,host_country,champion,champion_conference,champion_score,champion_manager,champion_manager_country,runner_up,runner_up_conference,runner_up_score,host_venue,attendance,third_place,third_place_conference,fourth_place,number_of_teams
Chess,,Grand Chess Tour,biltz,Norway Chess (Blitz),,2014,,Magnus Carlsen,Norway,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,biltz,Norway Chess (Blitz),,2015,,Maxime Vachier-Lagrave,France,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,biltz,Norway Chess (Blitz),,2016,,Magnus Carlsen,Norway,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,biltz,Norway Chess (Blitz),,2017,,Magnus Carlsen,Norway,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,biltz,Norway Chess (Blitz),,2018,,Wesley So,United States,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,biltz,Norway Chess (Blitz),,2019,,Maxime Vachier-Lagrave,France,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,biltz,Norway Chess (Blitz),,2022,,Wesley So,United States,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,biltz,Norway Chess (Blitz),,2023,,Nodirbek Abdusattorov,Uzbekistan,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Norway Chess (Classical),,2013,,Sergey Karjakin,Russia,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Norway Chess (Classical),,2014,,Sergey Karjakin,Russia,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Norway Chess (Classical),,2015,,Veselin Topalov,Bulgaria,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Norway Chess (Classical),,2016,,Magnus Carlsen,Norway,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Norway Chess (Classical),,2017,,Levon Aronian,Armenia,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Norway Chess (Classical),,2018,,Fabiano Caruana,United States,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Norway Chess (Classical),,2019,,Magnus Carlsen,Norway,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Norway Chess (Classical),,2020,,Magnus Carlsen,Norway,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Norway Chess (Classical),,2021,,Magnus Carlsen,Norway,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Norway Chess (Classical),,2022,,Magnus Carlsen,Norway,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Norway Chess (Classical),,2023,,Hikaru Nakamura,United States,,,,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Sinquefield Cup,,2013,,St. Louis,Missouri,United States,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Sinquefield Cup,,2014,,St. Louis,Missouri,United States,Fabiano Caruana,Italy,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Sinquefield Cup,,2015,,St. Louis,Missouri,United States,Levon Aronian,Armenia,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Sinquefield Cup,,2016,,St. Louis,Missouri,United States,Wesley So,United States,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Sinquefield Cup,,2017,,St. Louis,Missouri,United States,Maxime Vachier-Lagrave,France,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Sinquefield Cup,,2018,,St. Louis,Missouri,United States,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Sinquefield Cup,,2018,,St. Louis,Missouri,United States,Fabiano Caruana,United States,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Sinquefield Cup,,2018,,St. Louis,Missouri,United States,Levon Aronian,Armenia,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Sinquefield Cup,,2019,,St. Louis,Missouri,United States,Ding Liren,China,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Sinquefield Cup,,2021,,St. Louis,Missouri,United States,Maxime Vachier-Lagrave,France,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,Sinquefield Cup,,2022,,St. Louis,Missouri,United States,Alireza Firouzja,France,,,,,,,,,,,,
Chess,,Speed Chess Championship,,Speed Chess Championship,,2017,,,,,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Speed Chess Championship,,Speed Chess Championship,,2018,,,,,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,Speed Chess Championship,,Speed Chess Championship,,2019,,,,,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,Speed Chess Championship,,Speed Chess Championship,,2019,,,,,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,Speed Chess Championship,,Speed Chess Championship,,2020,,,,,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,Speed Chess Championship,,Speed Chess Championship,,2020,,,,,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,Speed Chess Championship,,Speed Chess Championship,,2021,,,,,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,Speed Chess Championship,,Speed Chess Championship,,2022,,,,,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,Speed Chess Championship,,Speed Chess Championship,,2023,,,,,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Tata Steel,classical,Tata Steel Chess Tournament (Classical),,2011,,Wijk aan Zee,North Holland,Netherlands,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,Tata Steel,classical,Tata Steel Chess Tournament (Classical),,2012,,Wijk aan Zee,North Holland,Netherlands,Levon Aronian,Armenia,,,,,,,,,,,,
Chess,,Tata Steel,classical,Tata Steel Chess Tournament (Classical),,2013,,Wijk aan Zee,North Holland,Netherlands,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Tata Steel,classical,Tata Steel Chess Tournament (Classical),,2014,,Wijk aan Zee,North Holland,Netherlands,Levon Aronian,Armenia,,,,,,,,,,,,
Chess,,Tata Steel,classical,Tata Steel Chess Tournament (Classical),,2015,,Wijk aan Zee,North Holland,Netherlands,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Tata Steel,classical,Tata Steel Chess Tournament (Classical),,2016,,Wijk aan Zee,North Holland,Netherlands,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Tata Steel,classical,Tata Steel Chess Tournament (Classical),,2017,,Wijk aan Zee,North Holland,Netherlands,Wesley So,United States,,,,,,,,,,,,
Chess,,Tata Steel,classical,Tata Steel Chess Tournament (Classical),,2018,,Wijk aan Zee,North Holland,Netherlands,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Tata Steel,classical,Tata Steel Chess Tournament (Classical),,2019,,Wijk aan Zee,North Holland,Netherlands,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Tata Steel,classical,Tata Steel Chess Tournament (Classical),,2020,,Wijk aan Zee,North Holland,Netherlands,Fabiano Caruana,United States,,,,,,,,,,,,
Chess,,Tata Steel,classical,Tata Steel Chess Tournament (Classical),,2021,,Wijk aan Zee,North Holland,Netherlands,Jorden van Foreest,Netherlands,,,,,,,,,,,,
Chess,,Tata Steel,classical,Tata Steel Chess Tournament (Classical),,2022,,Wijk aan Zee,North Holland,Netherlands,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Tata Steel,classical,Tata Steel Chess Tournament (Classical),,2023,,Wijk aan Zee,North Holland,Netherlands,Anish Giri,Netherlands,,,,,,,,,,,,
Chess,,Tata Steel,blitz,Tata Steel India Chess Tournament (Blitz),,2018,,Kolkata,West Bengal,India,Viswanathan Anand,India,,,,,,,,,,,,
Chess,,Tata Steel,blitz,Tata Steel India Chess Tournament (Blitz),,2019,,Kolkata,West Bengal,India,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Tata Steel,blitz,Tata Steel India Chess Tournament (Blitz),,2021,,Kolkata,West Bengal,India,Levon Aronian,Armenia,,,,,,,,,,,,
Chess,,Tata Steel,blitz,Tata Steel India Chess Tournament (Blitz),,2022,,Kolkata,West Bengal,India,Arjun Erigaisi,India,,,,,,,,,,,,
Chess,,Tata Steel,blitz,Tata Steel India Chess Tournament (Blitz),,2023,,Kolkata,West Bengal,India,Alexander Grischuk,Russia,,,,,,,,,,,,
Chess,,Tata Steel,rapid,Tata Steel India Chess Tournament (Rapid),,2018,,Kolkata,West Bengal,India,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,Tata Steel,rapid,Tata Steel India Chess Tournament (Rapid),,2019,,Kolkata,West Bengal,India,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Tata Steel,rapid,Tata Steel India Chess Tournament (Rapid),,2021,,Kolkata,West Bengal,India,Arjun Erigaisi,India,,,,,,,,,,,,
Chess,,Tata Steel,rapid,Tata Steel India Chess Tournament (Rapid),,2022,,Kolkata,West Bengal,India,Nihal Sarin,India,,,,,,,,,,,,
Chess,,Tata Steel,rapid,Tata Steel India Chess Tournament (Rapid),,2023,,Kolkata,West Bengal,India,Maxime Vachier-Lagrave,France,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1874,,,,United States,Walter Browne,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1936,,,,United States,Samuel Reshevsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1938,,,,United States,Samuel Reshevsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1940,,,,United States,Samuel Reshevsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1941,,,,United States,Samuel Reshevsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1942,,,,United States,Samuel Reshevsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1944,,,,United States,Arnold Denker,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1946,,,,United States,Arnold Denker,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1946,,,,United States,Samuel Reshevsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1948,,,,United States,Herman Steiner,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1951,,,,United States,Larry Evans,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1952,,,,United States,Larry Evans,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1954,,,,United States,Arthur Bisguier,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1957,,,,United States,Samuel Reshevsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1957,,,,United States,Bobby Fischer,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1958,,,,United States,Bobby Fischer,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1959,,,,United States,Bobby Fischer,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1960,,,,United States,Bobby Fischer,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1961,,,,United States,Larry Evans,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1962,,,,United States,Bobby Fischer,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1963,,,,United States,Bobby Fischer,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1965,,,,United States,Bobby Fischer,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1966,,,,United States,Bobby Fischer,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1968,,,,United States,Larry Evans,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1969,,,,United States,Samuel Reshevsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1972,,,,United States,Robert Byrne,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1973,,,,United States,Lubomir Kavalek,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1973,,,,United States,John Grefe,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1975,,,,United States,Walter Browne,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1977,,,,United States,Walter Browne,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1978,,,,United States,Lubomir Kavalek,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1980,,,,United States,Walter Browne,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1980,,,,United States,Larry Christiansen,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1980,,,,United States,Larry Evans,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1981,,,,United States,Walter Browne,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1981,,,,United States,Lubomir Kavalek,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1983,,,,United States,Walter Browne,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1983,,,,United States,Larry Christiansen,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1983,,,,United States,Roman Dzindzichashvili,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1984,,,,United States,Lev Alburt,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1985,,,,United States,Lev Alburt,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1986,,,,United States,Yasser Seirawan,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1987,,,,United States,Joel Benjamin,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1987,,,,United States,Nick de Firmian,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1988,,,,United States,Michael Wilder,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1989,,,,United States,Roman Dzindzichashvili,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1989,,,,United States,Stuart Rachels,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1989,,,,United States,Yasser Seirawan,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1990,,,,United States,Lev Alburt,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1991,,,,United States,Gata Kamsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1992,,,,United States,Patrick Wolff,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1993,,,,United States,Alexander Shabalov,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1993,,,,United States,Alex Yermolinsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1994,,,,United States,Boris Gulko,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1995,,,,United States,Nick de Firmian,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1995,,,,United States,Patrick Wolff,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1995,,,,United States,Alexander Ivanov,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1996,,,,United States,Alex Yermolinsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1997,,,,United States,Joel Benjamin,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1998,,,,United States,Nick de Firmian,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,1999,,,,United States,Boris Gulko,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2000,,,,United States,Joel Benjamin,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2000,,,,United States,Alexander Shabalov,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2000,,,,United States,Yasser Seirawan,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2002,,,,United States,Larry Christiansen,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2003,,,,United States,Alexander Shabalov,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2005,,,,United States,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2006,,,,United States,Alexander Onischuk,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2007,,,,United States,Alexander Shabalov,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2008,,,,United States,Yury Shulman,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2009,,,,United States,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2010,,,,United States,Gata Kamsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2011,,,,United States,Gata Kamsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2012,,,,United States,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2013,,,,United States,Gata Kamsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2014,,,,United States,Gata Kamsky,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2015,,,,United States,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2016,,,,United States,Fabiano Caruana,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2017,,,,United States,Wesley So,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2018,,,,United States,Samuel Shankland,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2019,,,,United States,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2020,,,,United States,Wesley So,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2021,,,,United States,Wesley So,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2022,,,,United States,Fabiano Caruana,United States,,,,,,,,,,,,
Chess,,,classical,US Chess Championship,,2023,,,,United States,Fabiano Caruana,United States,,,,,,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2006,,Rishon Lezion,,Israel,Alexander Grischuk,Russia,,,,Peter Svidler,,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2007,,Moscow,,Russia,Vasyl Ivanchuk,Ukraine,,,,Viswanathan Anand,India,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2008,,Almaty,,Kazakhstan,Leinier Domínguez,,,,,Vasyl Ivanchuk,Ukraine,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2009,,Moscow,,Russia,Magnus Carlsen,Norway,,,,Viswanathan Anand,India,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2010,,Moscow,,Russia,Levon Aronian,,,,,Teimour Radjabov,,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2012,,Astana,,Kazakhstan,Alexander Grischuk,Russia,,,,Magnus Carlsen,Norway,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2013,,Khanty-Mansiysk,,Russia,Lê Quang Liêm,Vietnam,,,,Alexander Grischuk,Russia,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2014,,Dubai,,United Arab Emirates,Magnus Carlsen,Norway,,,,Ian Nepomniachtchi,Russia,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2015,,Berlin,,Germany,Alexander Grischuk,Russia,,,,Maxime Vachier-Lagrave,France,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2016,,Doha,,Qatar,Sergey Karjakin,Russia,,,,Magnus Carlsen,Norway,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2017,,Riyadh,,Saudi Arabia,Magnus Carlsen,Norway,,,,Sergey Karjakin,,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2018,,Saint Petersburg,,Russia,Magnus Carlsen,Norway,,,,Jan-Krzysztof Duda,Poland,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2019,,Moscow,,Russia,Magnus Carlsen,Norway,,,,Hikaru Nakamura,United States,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2021,,Warsaw,,Poland,Maxime Vachier-Lagrave,France,,,,Jan-Krzysztof Duda,Poland,,,,,,,
Chess,,World Rapid & Blitz,blitz,World Blitz,,2022,,Almaty,,Kazakhstan,Magnus Carlsen,Norway,,,,Hikaru Nakamura,United States,,,,,,,
Chess,,World Championship,classical,World Championship,,1948,,The Hague;Moscow,,Netherlands;Soviet Union,Mikhail Botvinnik,Russia,,,,Vasily Smyslov,Russia,,,,,,,
Chess,,World Championship,classical,World Championship,,1951,,Moscow,,Soviet Union,Mikhail Botvinnik,Russia,,,,David Bronstein,,,,,,,,
Chess,,World Championship,classical,World Championship,,1954,,Moscow,,Soviet Union,Mikhail Botvinnik,Russia,,,,Vasily Smyslov,Russia,,,,,,,
Chess,,World Championship,classical,World Championship,,1957,,Moscow,,Soviet Union,Vasily Smyslov,Russia,,,,Mikhail Botvinnik,Russia,,,,,,,
Chess,,World Championship,classical,World Championship,,1958,,Moscow,,Soviet Union,Mikhail Botvinnik,Russia,,,,Vasily Smyslov,Russia,,,,,,,
Chess,,World Championship,classical,World Championship,,1960,,Moscow,,Soviet Union,Mikhail Tal,,,,,Mikhail Botvinnik,Russia,,,,,,,
Chess,,World Championship,classical,World Championship,,1961,,Moscow,,Soviet Union,Mikhail Botvinnik,Russia,,,,Mikhail Tal,,,,,,,,
Chess,,World Championship,classical,World Championship,,1963,,Moscow,,Soviet Union,Tigran Petrosian,,,,,Mikhail Botvinnik,Russia,,,,,,,
Chess,,World Championship,classical,World Championship,,1966,,Moscow,,Soviet Union,Tigran Petrosian,,,,,Boris Spassky,,,,,,,,
Chess,,World Championship,classical,World Championship,,1969,,Moscow,,Soviet Union,Boris Spassky,,,,,Tigran Petrosian,,,,,,,,
Chess,,World Championship,classical,World Championship,,1972,,Reykjavík,,Iceland,Bobby Fischer,,,,,Boris Spassky,,,,,,,,
Chess,,World Championship,classical,World Championship,,1975,,Manila,,Philippines,Anatoly Karpov,,,,,Bobby Fischer,,,,,,,,
Chess,,World Championship,classical,World Championship,,1978,,Baguio,,Philippines,Anatoly Karpov,,,,,Viktor Korchnoi,,,,,,,,
Chess,,World Championship,classical,World Championship,,1981,,Merano,,Italy,Anatoly Karpov,,,,,Viktor Korchnoi,,,,,,,,
Chess,,World Championship,classical,World Championship,,1985,,Moscow,,Soviet Union,Garry Kasparov,,,,,Anatoly Karpov,,,,,,,,
Chess,,World Championship,classical,World Championship,,1986,,London;Leningrad,,United Kingdom;Soviet Union,Garry Kasparov,,,,,Anatoly Karpov,,,,,,,,
Chess,,World Championship,classical,World Championship,,1987,,Seville,,Spain,Garry Kasparov,,,,,Anatoly Karpov,,,,,,,,
Chess,,World Championship,classical,World Championship,,1990,,New York City;Lyon,,United States;France,Garry Kasparov,,,,,Anatoly Karpov,,,,,,,,
Chess,,World Championship,classical,World Championship,,1993,,Zwolle;Arnhem;Amsterdam;Jakarta,,Netherlands;Indonesia,Anatoly Karpov,,,,,Jan Timman,,,,,,,,
Chess,,World Championship,classical,World Championship,,1996,,Elista,,Russia,Anatoly Karpov,,,,,Gata Kamsky,,,,,,,,
Chess,,World Championship,classical,World Championship,,1998,,Groningen;Lausanne,,Netherlands;Switzerland,Anatoly Karpov,,,,,Viswanathan Anand,,,,,,,,
Chess,,World Championship,classical,World Championship,,1999,,Las Vegas,,United States,Alexander Khalifman,,,,,Vladimir Akopian,,,,,,,,
Chess,,World Championship,classical,World Championship,,2000,,New Delhi;Tehran,,India;Iran,Viswanathan Anand,,,,,Alexei Shirov,,,,,,,,
Chess,,World Championship,classical,World Championship,,2002,,Moscow,,Russia,Ruslan Ponomariov,,,,,Vasyl Ivanchuk,Ukraine,,,,,,,
Chess,,World Championship,classical,World Championship,,2004,,Tripoli,,Libya,Rustam Kasimdzhanov,,,,,Michael Adams,,,,,,,,
Chess,,World Championship,classical,World Championship,,2005,,Potrero de los Funes;San Luis,,Argentina,Veselin Topalov,,,,,Viswanathan Anand,,,,,,,,
Chess,,World Championship,classical,World Championship,,2006,,Elista,,Russia,Vladimir Kramnik,,,,,Veselin Topalov,,,,,,,,
Chess,,World Championship,classical,World Championship,,2007,,Mexico City,,Mexico,Viswanathan Anand,India,,,,Vladimir Kramnik,,,,,,,,
Chess,,World Championship,classical,World Championship,,2008,,Bonn,,Germany,Viswanathan Anand,India,,,,Vladimir Kramnik,,,,,,,,
Chess,,World Championship,classical,World Championship,,2010,,Sofia,,Bulgaria,Viswanathan Anand,India,,,,Veselin Topalov,,,,,,,,
Chess,,World Championship,classical,World Championship,,2012,,Moscow,,Russia,Viswanathan Anand,India,,,,Boris Gelfand,,,,,,,,
Chess,,World Championship,classical,World Championship,,2013,,Chennai,,India,Magnus Carlsen,Norway,,,,Viswanathan Anand,India,,,,,,,
Chess,,World Championship,classical,World Championship,,2014,,Sochi,,Russia,Magnus Carlsen,Norway,,,,Viswanathan Anand,India,,,,,,,
Chess,,World Championship,classical,World Championship,,2016,,New York City,,United States,Magnus Carlsen,Norway,,,,Sergey Karjakin,,,,,,,,
Chess,,World Championship,classical,World Championship,,2018,,London,,United Kingdom,Magnus Carlsen,Norway,,,,Fabiano Caruana,,,,,,,,
Chess,,World Championship,classical,World Championship,,2021,,Dubai,,United Arab Emirates,Magnus Carlsen,Norway,,,,Ian Nepomniachtchi,Russia,,,,,,,
Chess,,World Championship,classical,World Championship,,2023,,Astana,,Kazakhstan,Ding Liren,China,,,,Ian Nepomniachtchi,Russia,,,,,,,
Chess,,World Championship,classical,World Cup,,2005,,Khanty-Mansiysk,,Russia,Levon Aronian,Armenia,,,,Ruslan Ponomariov,Ukraine,,,,,,,
Chess,,World Championship,classical,World Cup,,2007,,Khanty-Mansiysk,,Russia,Gata Kamsky,United States,,,,Alexei Shirov,Spain,,,,,,,
Chess,,World Championship,classical,World Cup,,2009,,Khanty-Mansiysk,,Russia,Boris Gelfand,Israel,,,,Ruslan Ponomariov,Ukraine,,,,,,,
Chess,,World Championship,classical,World Cup,,2011,,Khanty-Mansiysk,,Russia,Peter Svidler,Russia,,,,Alexander Grischuk,Russia,,,,,,,
Chess,,World Championship,classical,World Cup,,2013,,Tromsø,,Norway,Vladimir Kramnik,Russia,,,,Dmitry Andreikin,Russia,,,,,,,
Chess,,World Championship,classical,World Cup,,2015,,Baku,,Azerbaijan,Sergey Karjakin,Russia,,,,Peter Svidler,Russia,,,,,,,
Chess,,World Championship,classical,World Cup,,2017,,Tbilisi,,Georgia,Levon Aronian,Armenia,,,,Ding Liren,China,,,,,,,
Chess,,World Championship,classical,World Cup,,2019,,Khanty-Mansiysk,,Russia,Teimour Radjabov,Azerbaijan,,,,Ding Liren,China,,,,,,,
Chess,,World Championship,classical,World Cup,,2021,,Sochi,,Russia,Jan-Krzysztof Duda,Poland,,,,Sergey Karjakin,Russia,,,,,,,
Chess,,World Rapid & Blitz,rapid,World Rapid,,2012,,Astana,,Kazakhstan,Sergey Karjakin,Russia,,,,Magnus Carlsen,Norway,,,,Veselin Topalov,,,
Chess,,World Rapid & Blitz,rapid,World Rapid,,2013,,Khanty-Mansiysk,,Russia,Shakhriyar Mamedyarov,Azerbaijan,,,,Ian Nepomniachtchi,Russia,,,,Alexander Grischuk,,,
Chess,,World Rapid & Blitz,rapid,World Rapid,,2014,,Dubai,,United Arab Emirates,Magnus Carlsen,Norway,,,,Fabiano Caruana,United States,,,,Viswanathan Anand,India,,
Chess,,World Rapid & Blitz,rapid,World Rapid,,2015,,Berlin,,Germany,Magnus Carlsen,Norway,,,,Ian Nepomniachtchi,Russia,,,,Teimour Radjabov,,,
Chess,,World Rapid & Blitz,rapid,World Rapid,,2016,,Doha,,Qatar,Vasyl Ivanchuk,Ukraine,,,,Alexander Grischuk,Russia,,,,Magnus Carlsen,Norway,,
